metabolite,PC,loading,PropVar_met_amt,beta,organ,transformation,metabolite_effect_on_leaf
ribose,leaf_PC2,-0.09062658664772863,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
guanine,leaf_PC2,-0.08568975695953453,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
adenine,leaf_PC2,-0.08440866696619255,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
beta-gentiobiose,leaf_PC2,-0.08271158540238388,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
isoleucine,leaf_PC2,-0.08265695810633586,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
methionine,leaf_PC2,-0.08189174493122758,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
tyrosine,leaf_PC2,-0.08068541184589614,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
uracil,leaf_PC2,-0.08046678325448402,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
pyrrole-2-carboxylic acid,leaf_PC2,-0.0802428286420574,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
glucose-6-phosphate,leaf_PC2,0.07908870641716782,0.27169217930270617,0.2480715651773718,leaf,raw,increase
fructose-6-phosphate,leaf_PC2,0.07900178874048192,0.27169217930270617,0.2480715651773718,leaf,raw,increase
citric acid,leaf_PC2,0.07837644658590179,0.27169217930270617,0.2480715651773718,leaf,raw,increase
dehydroascorbic acid,leaf_PC2,0.07698549729134618,0.27169217930270617,0.2480715651773718,leaf,raw,increase
fumaric acid,leaf_PC2,-0.07466690395711678,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
homoserine,leaf_PC2,-0.07459308924529837,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
valine,leaf_PC2,-0.07301379861060489,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
nicotinamide,leaf_PC2,-0.07275412014220949,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
phenylalanine,leaf_PC2,-0.07247738548269189,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
methionine sulfoxide,leaf_PC2,-0.07082466811997049,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
lysine,leaf_PC2,-0.0706614932429667,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
leucine,leaf_PC2,-0.06956494815783086,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
sucrose,leaf_PC2,0.06955940842115571,0.27169217930270617,0.2480715651773718,leaf,raw,increase
shikimic acid,leaf_PC2,-0.0685172102521628,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
threonine,leaf_PC2,-0.06840888720674174,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
aspartic acid,leaf_PC2,-0.06765098203544981,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
citramalic acid,leaf_PC2,-0.0676393408205511,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
putrescine,leaf_PC2,-0.06654153181276204,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
isocitric acid,leaf_PC2,0.06643482711572604,0.27169217930270617,0.2480715651773718,leaf,raw,increase
raffinose,leaf_PC2,0.06619203203408378,0.27169217930270617,0.2480715651773718,leaf,raw,increase
alanine,leaf_PC2,-0.0653982297789011,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
ornithine,leaf_PC2,0.06512584898370588,0.27169217930270617,0.2480715651773718,leaf,raw,increase
glycerol,leaf_PC2,-0.06418810507722748,0.27169217930270617,0.2480715651773718,leaf,raw,decrease
