metabolite,PC,loading,PropVar_met_amt,beta,organ,transformation,metabolite_effect_on_leaf
ribose,leaf_PC2,-0.0764185225955964,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
isocitric acid,leaf_PC2,0.07626420802102216,0.23965386133927966,0.004741141305349067,leaf,raw,increase
guanine,leaf_PC2,-0.07408887965061613,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
beta-gentiobiose,leaf_PC2,-0.07371905886259097,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
citric acid,leaf_PC2,0.07323350764586974,0.23965386133927966,0.004741141305349067,leaf,raw,increase
alanine,leaf_PC2,-0.0730301019550536,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
adenine,leaf_PC2,-0.07238878912630575,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
methionine,leaf_PC2,-0.07224958980979683,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
asparagine,leaf_PC2,-0.0699697397951133,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
pyrrole-2-carboxylic acid,leaf_PC2,-0.06972995550436654,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
aspartic acid,leaf_PC2,-0.06880555912872882,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
sinapinic acid,leaf_PC2,0.0668905437297091,0.23965386133927966,0.004741141305349067,leaf,raw,increase
fructose-6-phosphate,leaf_PC2,0.06684169347691223,0.23965386133927966,0.004741141305349067,leaf,raw,increase
glucose-6-phosphate,leaf_PC2,0.06659010638511272,0.23965386133927966,0.004741141305349067,leaf,raw,increase
uracil,leaf_PC2,-0.06623407226165452,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
ornithine,leaf_PC2,0.06525570259437993,0.23965386133927966,0.004741141305349067,leaf,raw,increase
N-acetylornithine,leaf_PC2,-0.06523897789622717,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
threonine,leaf_PC2,-0.06364510151758514,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
phenylethylamine,leaf_PC2,-0.0631745018790001,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
aminomalonate,leaf_PC2,-0.06316435311598928,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
tryptophan,leaf_PC2,-0.06290263995627243,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
cyano-l-alanine,leaf_PC2,-0.06287506214794077,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
raffinose,leaf_PC2,0.0615061842927755,0.23965386133927966,0.004741141305349067,leaf,raw,increase
aconitic acid,leaf_PC2,0.06083205618322951,0.23965386133927966,0.004741141305349067,leaf,raw,increase
methionine sulfoxide,leaf_PC2,-0.060403805594992914,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
nicotinamide,leaf_PC2,-0.06037456465494486,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
xylonic acid,leaf_PC2,0.059702994727525445,0.23965386133927966,0.004741141305349067,leaf,raw,increase
cyanoalanine,leaf_PC2,-0.05963223698056788,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
sucrose,leaf_PC2,0.05800957601365476,0.23965386133927966,0.004741141305349067,leaf,raw,increase
alanine-alanine,leaf_PC2,-0.05799243031618607,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
galactonic acid,leaf_PC2,0.05781809953981527,0.23965386133927966,0.004741141305349067,leaf,raw,increase
beta-alanine,leaf_PC2,-0.0569217743773735,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
glycerol-alpha-phosphate,leaf_PC2,0.05597402960077632,0.23965386133927966,0.004741141305349067,leaf,raw,increase
leucine,leaf_PC2,-0.05542872957587917,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
xylonic acid isomer,leaf_PC2,0.05470565959844424,0.23965386133927966,0.004741141305349067,leaf,raw,increase
oxoproline,leaf_PC2,-0.05413756505362264,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
glyceric acid,leaf_PC2,0.05355284761819964,0.23965386133927966,0.004741141305349067,leaf,raw,increase
phytol,leaf_PC2,0.05240417861501718,0.23965386133927966,0.004741141305349067,leaf,raw,increase
3-aminoisobutyric acid,leaf_PC2,-0.052091117593692136,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
shikimic acid,leaf_PC2,-0.05168827562148289,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
fumaric acid,leaf_PC2,-0.05111741571268996,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
glycerol,leaf_PC2,-0.050895500664234976,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
erythritol,leaf_PC2,-0.050405197204011286,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
