metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_amt_root_lactic acid,0.10267860546033548,0.865413097501935,root,0.2804449272246781,0.934168347059771,FALSE
met_amt_root_isothreonic acid,0.010586967618280199,0.8533448306747072,root,0.09245970256334209,0.934168347059771,FALSE
met_amt_root_isoribose,0.2868312447334051,0.9634083913741978,root,0.4807838006959933,0.9818169565528315,FALSE
met_amt_root_isoleucine,0.24133870511668867,0.012746858894338246,root,0.4322587819785536,0.2012170736983829,FALSE
met_amt_root_isohexonic acid,0.8015910396816968,0.47384971617338123,root,0.8985988725094181,0.8719191848981741,FALSE
met_amt_root_isocitric acid,0.005778391125510853,0.4086603430635112,root,0.07523213599326792,0.8595587894449167,FALSE
met_amt_root_inulotriose,0.028599268742483596,0.4452175753804013,root,0.16632799507618454,0.8719191848981741,FALSE
met_amt_root_inositol-4-monophosphate,0.029744987959868203,0.11325531853574596,root,0.16632799507618454,0.6040283655239784,FALSE
met_amt_root_hypoxanthine,0.6863558266051428,0.24308232934849652,root,0.81426213445808715,0.7284960531581033,FALSE
met_amt_root_hydroxylamine,0.08102727325864903,0.8877092335717562,root,0.2501894753249514,0.9354674657712992,FALSE
met_amt_root_hydroxycarbamate NIST,0.10357341062275044,0.9982504946211029,root,0.2804449272246781,0.9982504946211029,FALSE
met_amt_root_homoserine,0.037198607926717656,0.3112026642476017,root,0.16632799507618454,0.7751457726394857,FALSE
met_amt_root_homoglutamine,0.7060013813631096,0.253932698260733,root,0.8283749541327153,0.7284960531581033,FALSE
met_amt_root_homocystine,0.8141048906123367,0.4673048590896005,root,0.9068510173909573,0.8719191848981741,FALSE
met_amt_root_hexose-6-phosphate,0.034926049864112706,0.07738603525363087,root,0.16632799507618454,0.537339460675573,FALSE
met_amt_root_heptadecanoic acid,0.15237889423703346,0.525499660124745,root,0.33110738058770883,0.8839575474935791,FALSE
met_amt_root_guanosine,0.5270846862138898,0.1636331926986405,root,0.6879932657358533,0.6697544631386215,FALSE
