name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf.voom5.module_blue,minusFe_Kim2019_shoot_FC_down,0.003639645261000226,0.9993326003673096,6,39,0.009336481321696231,NA
leaf.voom5.module_blue,heat_Kilian_2013_root_FC_down,0.003898397098435,0.9970327201663288,149,2636,0.009583559533652709,NA
leaf.voom5.module_blue,minusMg_Niu_2016_root_FC_up,0.004401982035860967,0.9972800907221286,48,737,0.01038867760463188,NA
leaf.voom5.module_blue,minusN_Peng_2007_whole_FC_up,0.007619304344297802,0.995653260794669,32,483,0.017289959858214243,NA
leaf.voom5.module_blue,minusPi_1d_Liu_2016_root_FC_up,0.010417478726513005,0.9932048403438483,49,834,0.022764120180158047,NA
leaf.voom5.module_blue,plusMg_Niu_2016_root_FC_up,0.01169854182706694,0.9925925560593666,42,684,0.024650498849891053,NA
leaf.voom5.module_blue,minusN_Nishida_2017_root_FC_up,0.021729996795654676,0.9828830066357052,124,2313,0.04420930382564227,NA
leaf.voom5.module_brown,minusMg_Niu_2016_shoot_FC_up,3.1561156995341375e-136,1,556,4969,1.8621082627251411e-134,NA
leaf.voom5.module_brown,minusPi_3d_Liu_2016_shoot_FC_down,5.193948076380275e-134,1,262,1116,1.5322146825321812e-132,NA
leaf.voom5.module_brown,coldKilian_2013_shoot_FC_up,2.4462270265771104e-19,1,167,2108,4.810913152268317e-18,NA
leaf.voom5.module_brown,minusN_Peng_2007_whole_FC_up,2.555195211312944e-7,0.9999999118596344,42,483,3.7689129366865926e-6,NA
leaf.voom5.module_brown,heat_Kilian_2013_shoot_FC_up,7.6489315082334e-7,0.9999997524764561,60,837,9.025739179715411e-6,NA
leaf.voom5.module_brown,heat_Kilian_2013_shoot_FC_down,7.78535971511764e-5,0.9999497633671296,111,1900,7.655603719865679e-4,NA
leaf.voom5.module_brown,plusMg_Niu_2016_shoot_FC_down,0.003753774805024069,0.9973820318948797,86,1640,0.03160585510124513,NA
leaf.voom5.module_brown,heat_Kilian_2013_root_FC_down,0.004285539674745102,0.9967864545592267,131,2636,0.03160585510124513,NA
leaf.voom5.module_brown4,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.voom5.module_coral1,minusMg_Niu_2016_shoot_FC_up,7.451801205989341e-15,1,30,4969,4.3965627115337113e-13,NA
leaf.voom5.module_coral1,plusMg_Niu_2016_shoot_FC_up,4.102389692375571e-7,0.9999999373420826,15,2479,1.2102049592507933e-5,NA
leaf.voom5.module_coral1,heat_Kilian_2013_shoot_FC_up,8.128071017189422e-7,0.9999999299323201,9,837,1.5985206333805863e-5,NA
leaf.voom5.module_coral2,minusMg_Niu_2016_shoot_FC_down,0,1,24,4416,0,NA
leaf.voom5.module_cyan,coldKilian_2013_shoot_FC_down,7.46211163329117e-8,1,50,2179,4.40264586364179e-6,NA
leaf.voom5.module_cyan,minusMg_Niu_2016_shoot_FC_down,2.067735474639557e-7,1,81,4416,6.099819650186693e-6,NA
leaf.voom5.module_cyan,minusMg_Niu_2016_shoot_FC_up,4.115061440673913e-5,0.9999768900988377,76,4969,8.092954166658697e-4,NA
leaf.voom5.module_cyan,heat_Kilian_2013_shoot_FC_up,7.434078882327567e-5,0.999974704385212,21,837,0.0010965266351433162,NA
leaf.voom5.module_cyan,heat_Kilian_2013_root_FC_up,4.1748530324757277e-4,0.9998342967932606,22,1021,0.004926326578321359,NA
leaf.voom5.module_cyan,minusPi_3d_Liu_2016_shoot_FC_down,6.003690399727468e-4,0.9997495906736165,23,1116,0.005903628893065344,NA
leaf.voom5.module_cyan,coldKilian_2013_root_FC_down,0.0010265404693977386,0.9994317678995814,44,2739,0.008652269670638082,NA
leaf.voom5.module_cyan,minusPi_1d_Liu_2016_shoot_FC_down,0.0016743875884460144,0.999370093890022,16,701,0.012348608464789357,NA
leaf.voom5.module_cyan,minusK_Nishida_2017_root_FC_down,0.0024771516261060883,0.9990306539460049,16,755,0.016239105104473246,NA
leaf.voom5.module_cyan,minusFe_Kailasam2019_shoot_FC_down,0.005007350857899861,0.9974167158509111,26,1543,0.02712994355960071,NA
leaf.voom5.module_cyan,coldKilian_2013_shoot_FC_up,0.005058125070434031,0.9971510800016717,34,2108,0.02712994355960071,NA
leaf.voom5.module_darkgreen,heat_Kilian_2013_root_FC_down,5.403354169938421e-23,1,68,2636,3.1879789602636685e-21,NA
leaf.voom5.module_darkgreen,minusMg_Niu_2016_shoot_FC_down,1.3929567384478683e-20,1,85,4416,4.109222378421211e-19,NA
leaf.voom5.module_darkgreen,heat_Kilian_2013_shoot_FC_down,1.4617377147861642e-18,1,53,1900,2.8747508390794563e-17,NA
leaf.voom5.module_darkgreen,coldKilian_2013_shoot_FC_down,1.0130847164048708e-17,1,54,2179,1.4942999566971845e-16,NA
leaf.voom5.module_darkgreen,plusMg_Niu_2016_shoot_FC_up,1.310609941366463e-14,1,52,2479,1.5465197308124265e-13,NA
leaf.voom5.module_darkgreen,minusPi_1d_Liu_2016_shoot_FC_up,1.8839615180924493e-14,1,45,1811,1.8525621594575753e-13,NA
leaf.voom5.module_darkgreen,minusPi_3d_Liu_2016_shoot_FC_up,5.707082879274267e-13,1,45,2071,4.810255569674025e-12,NA
leaf.voom5.module_darkgreen,minusK_Nishida_2017_root_FC_up,6.936996451674125e-11,1,32,1291,5.116034883109667e-10,NA
leaf.voom5.module_darkgreen,minusFe_Kailasam2019_shoot_FC_up,1.0349806132285133e-9,1,24,850,6.412753138562758e-9,NA
leaf.voom5.module_darkgreen,coldKilian_2013_root_FC_down,1.0869073116208064e-9,1,45,2739,6.412753138562758e-9,NA
leaf.voom5.module_darkgreen,minusFe_Kailasam2019_root_FC_up,4.490751809534668e-7,0.9999998847208573,23,1093,2.4086759705685944e-6,NA
leaf.voom5.module_darkgreen,plusMg_Niu_2016_shoot_FC_down,1.3142627273841649e-6,0.9999995781224829,29,1640,6.461791742972144e-6,NA
leaf.voom5.module_darkgreen,plusMg_Niu_2016_root_FC_down,9.201925890044236e-6,0.9999978364898318,16,745,4.176258673173922e-5,NA
leaf.voom5.module_darkgreen,plusAl_Ligaba-OSena_2017_shoot_FC_up,1.923915977834524e-5,0.9999977875339716,8,163,8.107931620874066e-5,NA
leaf.voom5.module_darkgreen,minusS_Aarabi2016_root_FC_down,2.6064266279223517e-5,0.9999980428365738,6,93,1.0251944736494583e-4,NA
leaf.voom5.module_darkgreen,minusS_Nishida_2017_root_FC_down,3.60018463386701e-5,0.9999971281845922,6,99,1.32756808373846e-4,NA
leaf.voom5.module_darkgreen,minusPi_3d_Liu_2016_root_FC_up,9.019976332095252e-5,0.9999645551947037,27,2006,3.130462374080117e-4,NA
leaf.voom5.module_darkgreen,minusMn_Rodriguez-Celma_2016_root_FC_up,1.9384125561620408e-4,0.9999493455271505,13,625,6.353685600753356e-4,NA
leaf.voom5.module_darkgreen,minusMg_Niu_2016_root_FC_up,2.6003465869667817e-4,0.9999258249428159,14,737,8.074760454265269e-4,NA
leaf.voom5.module_darkgreen,minusMg_Niu_2016_shoot_FC_up,8.25938599793231e-4,0.9995445717561658,48,4969,0.0024365188693900317,NA
leaf.voom5.module_darkgreen,minusCa_Nishida_2017_root_FC_up,9.77616967844904e-4,0.9998537571320714,6,176,0.00274663814775473,NA
leaf.voom5.module_darkgreen,minusN_Nishida_2017_root_FC_up,0.004247170723580023,0.9978573046924132,26,2313,0.011390139667782788,NA
leaf.voom5.module_darkgreen,coldKilian_2013_root_FC_up,0.004826780888257049,0.9978743821512183,18,1434,0.012381742278572428,NA
leaf.voom5.module_darkgreen,minusFe_Kailasam2019_shoot_FC_down,0.013361744063233875,0.9936196265531219,17,1543,0.03284762082211661,NA
leaf.voom5.module_darkgrey,minusMg_Niu_2016_shoot_FC_down,8.742079666536485e-28,1,96,4416,5.157827003256526e-26,NA
leaf.voom5.module_darkgrey,coldKilian_2013_shoot_FC_down,1.4566756485253663e-16,1,52,2179,4.297193163149831e-15,NA
leaf.voom5.module_darkgrey,heat_Kilian_2013_shoot_FC_down,3.700934172924894e-9,1,38,1900,7.278503873418958e-8,NA
leaf.voom5.module_darkgrey,minusPi_1d_Liu_2016_shoot_FC_up,5.848037682423063e-8,0.9999999831972878,34,1811,8.625855581574017e-7,NA
leaf.voom5.module_darkgrey,minusPi_3d_Liu_2016_shoot_FC_up,3.7580336609842493e-6,0.9999986526436788,32,2071,4.4344797199614144e-5,NA
leaf.voom5.module_darkgrey,plusMg_Niu_2016_shoot_FC_down,2.3986547042912864e-5,0.9999915006764776,26,1640,2.3586771258864319e-4,NA
leaf.voom5.module_darkgrey,heat_Kilian_2013_shoot_FC_up,3.719959057999395e-4,0.9998900214105497,14,837,0.003135394063170919,NA
leaf.voom5.module_darkgrey,plusMg_Niu_2016_shoot_FC_up,0.0016728144271312521,0.9991915627971212,28,2479,0.012337006400092984,NA
leaf.voom5.module_darkgrey,coldKilian_2013_root_FC_down,0.00357305858708274,0.9981760081271388,28,2739,0.02342338407087574,NA
leaf.voom5.module_darkgrey,minusFe_Kailasam2019_shoot_FC_down,0.004006114787367028,0.9982683279215083,18,1543,0.02344972756605979,NA
leaf.voom5.module_darkgrey,minusMg_Niu_2016_shoot_FC_up,0.004371983105536571,0.997423397032142,44,4969,0.02344972756605979,NA
leaf.voom5.module_darkgrey,heat_Kilian_2013_root_FC_down,0.005001990998865647,0.997352339353567,29,2636,0.024593122411089432,NA
leaf.voom5.module_darkgrey,coldKilian_2013_shoot_FC_up,0.006064808490318065,0.9969887855292218,23,2108,0.027524900071443526,NA
leaf.voom5.module_darkgrey,minusFe_Kailasam2019_shoot_FC_up,0.0067384448374085085,0.9974943996146391,12,850,0.028397731814793,NA
leaf.voom5.module_darkmagenta,minusN_Peng_2007_whole_FC_up,5.994502891865155e-11,1,16,483,3.536756706200441e-9,NA
leaf.voom5.module_darkmagenta,minusN_Nishida_2017_root_FC_up,3.778903458334091e-9,0.9999999990292838,33,2313,1.114776520208557e-7,NA
leaf.voom5.module_darkmagenta,heat_Kilian_2013_shoot_FC_down,4.88717182831341e-6,0.9999984509519407,26,1900,9.611437929016374e-5,NA
leaf.voom5.module_darkmagenta,minusMg_Niu_2016_shoot_FC_up,7.1128366564378075e-6,0.9999970798202866,42,4969,1.0491434068245766e-4,NA
leaf.voom5.module_darkmagenta,minusFe_Kailasam2019_shoot_FC_down,1.549323132214745e-5,0.9999956966226388,19,1543,1.8282012960133993e-4,NA
leaf.voom5.module_darkmagenta,minusPi_3d_Liu_2016_shoot_FC_up,2.3874051788253362e-5,0.999992044144608,24,2071,2.3476150925115806e-4,NA
leaf.voom5.module_darkmagenta,minusPi_1d_Liu_2016_shoot_FC_down,3.1239728103874844e-5,0.9999937611079422,12,701,2.3738024252526976e-4,NA
leaf.voom5.module_darkmagenta,plusMg_Niu_2016_shoot_FC_up,3.218715152885014e-5,0.9999885642584363,26,2479,2.3738024252526976e-4,NA
leaf.voom5.module_darkmagenta,minusPi_1d_Liu_2016_shoot_FC_up,6.289308992677284e-5,0.9999787440985496,22,1811,4.122991450755108e-4,NA
