transcript_ID,wyo_leaf_R500_10_417_S65,wyo_leaf_R500_10_419_S66,wyo_leaf_R500_12_505_S68,wyo_leaf_R500_12_509_S67,wyo_leaf_R500_2_50_S9,wyo_leaf_R500_2_73_S10,wyo_leaf_R500_4_137_S11,wyo_leaf_R500_4_172_S12,wyo_leaf_R500_5_193_S13,wyo_leaf_R500_5_210_S14,wyo_leaf_R500_7_281_S15,wyo_leaf_R500_7_297_S16
BraA05g010420.3C,5.143778110086589,5.457845236508233,5.784800227328422,5.254197182318532,5.211117783374648,5.220642468849515,5.334767071522476,4.9200196943771335,5.442467424250892,5.414359702669086,5.110654201931767,5.345033186781609
BraA05g010460.3C,3.901417272517545,4.634722998592312,2.9940281894664214,4.219150235219332,4.107495152300491,3.431062248519887,4.1972635477725415,4.108781337832301,2.451990198369399,3.769276209510359,3.060028128861799,2.851493713824047
BraA05g010470.3C,2.7917927813430468,3.1359171416208707,3.208152994819269,2.536340411100031,2.800833814066438,2.549706745018506,2.5033666754982207,3.510143900214068,2.451990198369399,2.858543547607446,4.50060072024778,3.961118204998545
BraA05g010520.3C,2.2443049860405533,1.419710107621462,4.078092454254896,2.536340411100031,3.307793802786321,2.549706745018506,3.17079133641135,3.0247170730438264,3.0620436800533852,1.6741189764700188,2.1271423247203356,1.773491201822774
BraA05g010560.3C,0.8657933627868234,1.78228018700617,0.6721000945790588,1.0957678197140497,1.360261222680457,-0.11325826770392322,2.1163435523889738,0.7027889781564641,3.0620436800533852,2.302150199083061,1.4750656281406425,1.773491201822774
BraA05g010610.3C,-1.4561347321005387,2.071786804201155,1.157526921749301,2.375875738906785,2.640369141873192,0.6237073264622831,8.663349690377168e-4,1.840292501906399,2.5963801077045736,0.5366154527200842,0.9896388009704006,1.4109211224380656
BraA05g010640.3C,3.087787957644827,-1.3876448144361422,1.8096036183289939,3.00919807799315,2.253346018763945,2.9167340186249535,1.3105896879789853,3.0247170730438264,2.0934700294046067,1.747355907856288,0.9896388009704006,0.9254942952678239
BraA05g010670.3C,2.2075628318263187,0.93428328045122,1.520097001134009,2.2547270734443097,1.722831302065165,2.9739691970379245,2.0670336154628246,0.7027889781564641,-0.1266012652728483,1.850114407068242,0.9896388009704006,1.4109211224380656
BraA05g010690.3C,7.138325736317952,7.931302842061807,7.3312500237079075,6.6984545970573315,7.373848540413828,6.818442909592644,7.737771965876487,6.209945520685744,6.789194241566647,7.012530424898262,7.3743262099164335,7.334460846922133
BraA05g010700.3C,3.4235925960388958,3.609582548501198,2.3087845676010406,3.097735755633948,3.735841674952261,2.0471822328172866,1.9232950976000633,2.8034921850587278,3.0948838654714956,3.011694108194818,3.472070991052644,2.5432892656682475
BraA05g010750.3C,2.0032871811011104,1.419710107621462,-1.6498280003083035,-0.12662460162239855,1.722831302065165,0.6237073264622831,1.5858288356901937,1.840292501906399,-1.7959373150741866,0.5366154527200842,-1.3322892939169617,0.18852870110161768
BraA05g010800.3C,6.075246728415773,5.731296258287365,6.098364849281157,5.739624009488774,5.90163445485393,5.736407459211645,6.476599765935435,6.11557050349494,5.570384899171629,5.822017671582333,5.867383050919403,5.969888414626277
BraA05g010810.3C,3.187721457674186,1.907217037351606,3.76547434445196,3.3328070170148987,3.575778302944726,2.6250296716121464,3.2342451909698027,4.10212306679578,3.1582589953126883,3.0555634505746774,3.4225954297200487,3.647960319738915
BraA05g010830.3C,1.5438652678994613,1.419710107621462,1.8096036183289939,-0.12662460162239855,1.360261222680457,0.6237073264622831,1.0008663349690377,0.7027889781564641,2.1243502677078916,0.5960150350701292,0.9896388009704006,-1.3964337996195384
BraA05g010860.3C,3.6731482848444275,2.8602826990074433,3.479455016636663,2.6807303204352055,1.722831302065165,2.002218949716013,0.7378319291352438,1.1882158053267056,2.291525526176153,1.3846123592750341,2.3681504242241305,-1.3964337996195384
BraA05g010910.3C,0.8657933627868234,2.699818026814197,-1.6498280003083035,1.7478445162937428,0.8748343955102151,0.6237073264622831,0.7378319291352438,0.7027889781564641,1.3739876863681255,-1.7853126421672783,0.9896388009704006,-1.3964337996195384
BraA05g010930.3C,0.8657933627868234,2.8602826990074433,1.520097001134009,2.8119748537134583,2.640369141873192,1.1091341536325248,2.1163435523889738,2.6287883967126873,0.5259907798131757,2.1215779534412404,1.8376357075253507,0.18852870110161768
BraA05g011000.3C,2.9361826906782214,1.78228018700617,3.7077240043097803,-1.7115871023435545,0.8748343955102151,1.471704233017233,1.8753354528851787,1.840292501906399,-0.21097481435303053,2.96957485999619,3.311566895857763,2.9958836231592216
BraA05g011020.3C,0.8657933627868234,0.19731768628501398,0.6721000945790588,1.0957678197140497,1.722831302065165,-0.11325826770392322,0.7378319291352438,1.840292501906399,0.5259907798131757,-0.20035014144612234,2.1271423247203356,1.4109211224380656
BraA05g011040.3C,2.7917927813430468,3.0046726083426183,2.9940281894664214,2.8119748537134583,2.459796896231371,2.208669827183439,3.17079133641135,2.9044228393261147,3.2484568042842668,2.6070047806114816,2.755173547333378,3.647960319738915
BraA05g011080.3C,0.12882776862061743,0.93428328045122,-0.06486549958714702,-1.7115871023435545,1.360261222680457,1.471704233017233,0.7378319291352438,-1.6191391167308984,1.3739876863681255,1.3846123592750341,2.1271423247203356,0.18852870110161768
BraA05g011140.3C,4.035718364229136,3.47033618069143,3.7764367543937944,3.843001749334083,3.1967624903975773,3.659331236193004,3.545186851192848,4.053286225240597,3.6303274396279113,2.7382493138897344,4.2222995577606754,3.5577625107673367
BraA05g011200.3C,2.4507558635079794,3.2562113753385824,3.39456611905015,3.1463938927840176,3.1967624903975773,3.7280439862770187,2.663831347691467,3.425255002627555,3.876488026897309,2.6070047806114816,3.1912726621400513,3.1271281564374744
BraA05g011210.3C,1.7137902693417735,3.3672426877273263,2.257062595300215,2.93226908743117,3.6821893175678193,3.7936323279045956,3.6253571998768312,2.081300601410194,3.876488026897309,2.7382493138897344,2.574601301691557,3.732849217325428
BraA05g011250.3C,3.067427223956474,3.9699071901819414,3.39456611905015,3.2426092080433206,2.640369141873192,2.8253411876319334,3.545186851192848,2.9044228393261147,2.291525526176153,2.6070047806114816,2.574601301691557,2.9958836231592216
