NAME,tissue_LorD_set,-log10 FDR q-val
leaf.grey60,root_Dead,0
leaf.lavenderblush3,root_Dead,0
leaf.lightcyan,root_Dead,0
leaf.lightcyan1,root_Dead,0
leaf.lightgreen,root_Dead,0
leaf.magenta,root_Dead,0
leaf.mediumorchid,root_Dead,0
leaf.mediumpurple3,root_Dead,0
leaf.midnightblue,root_Dead,0
leaf.orange,root_Dead,0
leaf.orangered4,root_Dead,0
leaf.pink,root_Dead,0
leaf.plum,root_Dead,0
leaf.plum2,root_Dead,0
leaf.red,root_Dead,0
leaf.salmon,root_Dead,0
leaf.sienna3,root_Dead,0
leaf.skyblue1,root_Dead,0
leaf.skyblue2,root_Dead,0
leaf.thistle2,root_Dead,0
leaf.white,root_Dead,0
leaf.yellowgreen,root_Dead,0
