query_id	diff
Brara.A00086	0.13981905856419363
Brara.A00125	-0.1027660368418767
Brara.A00149	0.2515991605626237
Brara.A00222	-0.09030033252422995
Brara.A00310	-0.2935399356181211
Brara.A00396	0.08707631061902209
Brara.A00401	-0.24242342460549793
Brara.A00414	0.3378027779201589
Brara.A00429	-0.3261601614121501
Brara.A00473	-0.14531943187348317
Brara.A00487	-0.6429341664361428
Brara.A00548	0.08488552958927419
Brara.A00614	1.13637883293601
Brara.A00654	0.42159277275700385
Brara.A00722	-0.3267566669655369
Brara.A00780	0.2840497961022412
Brara.A00797	0.6312620951203097
Brara.A00925	0.12543127145177146
Brara.A00983	0.2954403454302859
Brara.A01027	0.03934071764845598
Brara.A01067	0.010345080887336055
Brara.A01069	0.6254867855765323
Brara.A01155	0.09948554433011474
Brara.A01190	-0.14324377300104651
Brara.A01252	-0.004391273349212167
Brara.A01253	-0.056891444687019996
Brara.A01281	0.160425610413102
Brara.A01324	-0.10559249142857073
Brara.A01389	-0.2566213521263807
Brara.A01398	-0.30637114411858946
Brara.A01458	-0.1381707234627988
Brara.A01473	1.7518285677013052
Brara.A01486	0.1966792725191156
Brara.A01531	0.12240751930299726
Brara.A01592	0.05541897031936972
Brara.A01597	0.7374720747033556
Brara.A01627	-0.14302597208652396
Brara.A01823	0.18146991170688903
Brara.A01866	-0.4146367641050105
Brara.A01955	0.002082115722803063
Brara.K01681	0.3789312919457034
Brara.A02028	0.38318571763452325
Brara.A02071	-0.25857383134092515
Brara.A02124	-0.15735384243606668
Brara.A02188	0.09980866965687588
Brara.A02317	-0.012630517795593647
Brara.A02551	-0.025307718673307576
Brara.A02611	0.18304400021251727
Brara.A02636	-0.04905790732218484
Brara.A02765	-0.08475726527096351
Brara.A02775	0.13103416835767798
Brara.A02828	-0.3526247588302881
Brara.A02841	-0.03715039687684481
Brara.A02846	-0.24982432367830645
Brara.A02878	0.11290996146720443
Brara.A03053	0.6199994951056557
Brara.A03108	0.10299406182685825
Brara.A03145	-0.2488978879362948
Brara.A03168	0.63283129239764
Brara.A03197	0.9043113753121603
Brara.A03519	0.0635025293638484
Brara.A03648	0.10654450289512998
Brara.A03715	-0.15982750729768666
Brara.A03739	-0.17099748911726464
Brara.A03877	0.1660265890071383
Brara.A03864	-0.3050328131651979
Brara.A03928	0.341785141998879
Brara.B00064	-0.3074878730782499
Brara.B00165	0.11566738732258845
Brara.B00283	0.004084945591804685
Brara.B00329	0.08756558613630698
Brara.B00371	-0.1332437597806447
Brara.B00485	-0.2373180677641364
Brara.B00513	0.3407607084285267
Brara.B00533	0.04802875927813319
Brara.B00551	-0.4371715272373371
Brara.B00612	-0.06596882899885795
Brara.B00634	-0.009451243854367401
Brara.B00683	-0.13945330166004638
Brara.B00804	-0.15361900626674801
Brara.B00864	-0.28836824417673224
Brara.B00951	0.1399789664675537
Brara.B01042	-0.24857479187536444
Brara.B01140	-0.4399020433731664
Brara.B01227	-0.24908115506262332
Brara.B01410	0.08238800758828557
Brara.B01589	0.38700251931215
Brara.B01660	-0.49370636503072535
Brara.B01720	-0.08471133421310044
Brara.B02074	-0.02118712761472271
Brara.B02138	0.12369413901401433
Brara.B02270	-0.16903874862697835
Brara.B02279	0.13102583936488177
Brara.B02389	0.16848888039375304
Brara.B02501	-0.00830476604655178
Brara.B02572	0.026859257216399222
Brara.B02592	0.3888923539492135
Brara.B02600	0.8856472485362563
Brara.B02749	0.0473781909610365
Brara.B02532	0.05723839505756001
Brara.B02467	0.3711041642185048
Brara.B02474	0.061754511600723386
Brara.B02998	-0.31357901248857045
Brara.B03018	0.10052598824685183
Brara.B03167	-0.3268589366341926
Brara.B03218	-0.2968548130467269
Brara.B03325	0.5577885487191823
Brara.B03372	0.21996799291983532
Brara.B03491	0.24541305007760367
Brara.B03542	0.051219139699097804
Brara.B03668	0.15446270562845787
Brara.B03707	-0.17235941610985295
Brara.B03750	0.001846558667117846
Brara.B03766	0.3048545732305382
Brara.B03915	0.2659412486694112
Brara.C00031	-0.26772358071333746
Brara.C00023	-0.3510615208996185
Brara.C00185	0.03223088438413739
Brara.C00329	-0.08991997929634099
Brara.C00342	0.6192729675073647
Brara.C00411	0.2798695738948097
Brara.C00625	0.215622064409348
Brara.C00642	0.23666353616633717
Brara.B00650	-0.5201478607458652
Brara.C01043	-0.16177329764591514
Brara.C01198	0.19581856855445956
Brara.C01236	0.18720408848661008
Brara.C01255	-0.03349371339688077
Brara.C01628	-0.1987080243329158
Brara.H03042	0.7511275538597726
Brara.C01740	0.2916045440524831
Brara.C01859	-0.014966622049570352
Brara.C01894	0.5461590193697237
Brara.C01918	0.5426049492041508
Brara.C02006	0.5354277813710082
Brara.C02009	0.11595711036088
Brara.C02068	0.29101318256701175
Brara.C02124	0.11924596330479693
Brara.C02209	-0.029706793543280596
Brara.C02214	-0.10223539612143287
Brara.C02231	-0.3361017231660944
Brara.C02237	-0.23316952340191294
Brara.C02337	-0.16685908255666043
Brara.C02355	0.16452108640359053
Brara.C02423	-0.15651006425540098
Brara.C02424	-0.044185642360148464
Brara.C02452	0.09504148895193759
Brara.C02604	0.10421206385016057
Brara.C02805	0.12499521201529351
Brara.C02833	0.2791356425271134
Brara.C02881	0.9097730196976543
Brara.C02894	-0.004214009049551741
Brara.C02940	0.9679732585230056
Brara.K01603	0.0280145739952357
Brara.C03054	-0.36733146423733465
Brara.C03179	-0.2318643457145212
Brara.C03257	-0.09113803404259932
Brara.C03290	0.7445346760518132
Brara.C03291	0.8553521939672669
Brara.C03434	0.009429657315155385
