genes,trt,mean.value,root.voom5.module,query_id
BraA01g042770.3C,dead,0.11723432825509104,plum1,BRARA.A03736-MONOMER
BraA01g042770.3C,live,-0.11723432825509104,plum1,BRARA.A03736-MONOMER
BraA01g043400.3C,dead,-0.2643646812227245,lightyellow,BRARA.A03799-MONOMER
BraA01g043400.3C,live,0.26436468122272455,lightyellow,BRARA.A03799-MONOMER
BraA01g044880.3C,dead,-0.055891055510148314,red,BRARA.A03934-MONOMER
BraA01g044880.3C,live,0.05589105551014824,red,BRARA.A03934-MONOMER
BraA02g001290.3C,dead,-0.030865076227351667,red,BRARA.B00132-MONOMER
BraA02g001290.3C,live,0.03086507622735167,red,BRARA.B00132-MONOMER
BraA02g001710.3C,dead,-0.5719864187993722,lightyellow,BRARA.B00172-MONOMER
BraA02g001710.3C,live,0.5719864187993722,lightyellow,BRARA.B00172-MONOMER
BraA02g003290.3C,dead,0.16195694423837212,paleturquoise,BRARA.B00341-MONOMER
BraA02g003290.3C,live,-0.16195694423837215,paleturquoise,BRARA.B00341-MONOMER
BraA02g003640.3C,dead,0.3403229969062631,plum1,BRARA.B00380-MONOMER
BraA02g003640.3C,live,-0.34032299690626305,plum1,BRARA.B00380-MONOMER
BraA02g004420.3C,dead,0.1500975321882314,yellowgreen,BRARA.B00450-MONOMER
BraA02g004420.3C,live,-0.15009753218823138,yellowgreen,BRARA.B00450-MONOMER
BraA02g005830.3C,dead,-0.02278508159316767,paleturquoise,BRARA.B00585-MONOMER
BraA02g005830.3C,live,0.02278508159316766,paleturquoise,BRARA.B00585-MONOMER
BraA02g006420.3C,dead,0.12085859858871864,lightyellow,BRARA.B00648-MONOMER
BraA02g006420.3C,live,-0.12085859858871864,lightyellow,BRARA.B00648-MONOMER
BraA02g006450.3C,dead,-0.01458762415517023,midnightblue,BRARA.B00652-MONOMER
BraA02g006450.3C,live,0.01458762415517022,midnightblue,BRARA.B00652-MONOMER
BraA02g006550.3C,dead,-0.25099250555694913,lightyellow,BRARA.B00664-MONOMER
BraA02g006550.3C,live,0.2509925055569492,lightyellow,BRARA.B00664-MONOMER
BraA02g007380.3C,dead,0.0818191121321683,red,BRARA.B00745-MONOMER
BraA02g007380.3C,live,-0.08181911213216829,red,BRARA.B00745-MONOMER
BraA02g008260.3C,dead,0.009263114492688379,midnightblue,BRARA.B00831-MONOMER
BraA02g008260.3C,live,-0.009263114492688383,midnightblue,BRARA.B00831-MONOMER
BraA02g009160.3C,dead,-0.1604962785049821,paleturquoise,BRARA.B00910-MONOMER
BraA02g009160.3C,live,0.16049627850498208,paleturquoise,BRARA.B00910-MONOMER
BraA02g009240.3C,dead,0.040145090119886276,lightyellow,BRARA.B00918-MONOMER
BraA02g009240.3C,live,-0.04014509011988627,lightyellow,BRARA.B00918-MONOMER
BraA02g010250.3C,dead,0.0033981048327630494,midnightblue,BRARA.B01021-MONOMER
BraA02g010250.3C,live,-0.0033981048327630624,midnightblue,BRARA.B01021-MONOMER
BraA02g010960.3C,dead,0.014167572522944144,red,BRARA.B01093-MONOMER
BraA02g010960.3C,live,-0.014167572522944153,red,BRARA.B01093-MONOMER
BraA02g010990.3C,dead,0.16297620860454773,paleturquoise,BRARA.B01097-MONOMER
BraA02g010990.3C,live,-0.1629762086045477,paleturquoise,BRARA.B01097-MONOMER
BraA02g011480.3C,dead,-0.026112396768471192,red,BRARA.B01139-MONOMER
BraA02g011480.3C,live,0.026112396768471286,red,BRARA.B01139-MONOMER
BraA02g011490.3C,dead,0.0035007753357141976,red,BRARA.B01140-MONOMER
BraA02g011490.3C,live,-0.0035007753357141702,red,BRARA.B01140-MONOMER
BraA02g013030.3C,dead,0.3014772159702931,yellowgreen,BRARA.B01291-MONOMER
BraA02g013030.3C,live,-0.3014772159702931,yellowgreen,BRARA.B01291-MONOMER
BraA02g013720.3C,dead,-0.042138324780315047,midnightblue,BRARA.B01364-MONOMER
BraA02g013720.3C,live,0.04213832478031494,midnightblue,BRARA.B01364-MONOMER
BraA02g013910.3C,dead,0.02533122350727019,red,BRARA.B01382-MONOMER
BraA02g013910.3C,live,-0.02533122350727021,red,BRARA.B01382-MONOMER
BraA02g015810.3C,dead,-0.0023734288741320215,red,BRARA.B01555-MONOMER
BraA02g015810.3C,live,0.002373428874131985,red,BRARA.B01555-MONOMER
BraA02g017620.3C,dead,0.061403897283636634,midnightblue,BRARA.B01717-MONOMER
BraA02g017620.3C,live,-0.061403897283636655,midnightblue,BRARA.B01717-MONOMER
BraA02g018040.3C,dead,-0.016845141005821893,lightyellow,BRARA.B01759-MONOMER
BraA02g018040.3C,live,0.016845141005821886,lightyellow,BRARA.B01759-MONOMER
BraA02g019970.3C,dead,0.012749577884498415,paleturquoise,BRARA.B01925-MONOMER
BraA02g019970.3C,live,-0.012749577884498457,paleturquoise,BRARA.B01925-MONOMER
BraA02g020810.3C,dead,-0.22274693351436697,lightyellow,BRARA.B02007-MONOMER
BraA02g020810.3C,live,0.22274693351436697,lightyellow,BRARA.B02007-MONOMER
BraA02g022330.3C,dead,0.06377432453043072,midnightblue,BRARA.B02126-MONOMER
BraA02g022330.3C,live,-0.06377432453043068,midnightblue,BRARA.B02126-MONOMER
BraA02g023170.3C,dead,-0.00483488601503907,red,BRARA.B02247-MONOMER
BraA02g023170.3C,live,0.004834886015039082,red,BRARA.B02247-MONOMER
BraA02g023600.3C,dead,0.408611147767454,plum1,BRARA.B02193-MONOMER
BraA02g023600.3C,live,-0.408611147767454,plum1,BRARA.B02193-MONOMER
BraA02g024390.3C,dead,0.391256946795121,yellowgreen,BRARA.B02290-MONOMER
