ID	PC	value
putrescine	root_PC3	-1.178162252519843
xanthine	root_PC3	-1.0070136666879046
3-cyano-L-alanine	root_PC3	-1.0066192225710089
L-lysine	root_PC3	-0.9760512418336149
3-cyano-L-alanine	root_PC3	-0.9651223576945431
pseudouridine	root_PC3	-0.9585420612183253
allantoate	root_PC3	-0.8825257849214835
galactinol	root_PC3	0.8703786948950878
D-gluconate	root_PC3	-0.8682878492134742
L-ornithine	root_PC3	0.8451657913868532
L-tyrosine	root_PC3	-0.840016046210073
0	root_PC3	0.8362409525727487
N-acetyl-L-ornithine	root_PC3	-0.827428492534079
raffinose	root_PC3	0.8181315903539443
L-asparagine	root_PC3	-0.7909674596957766
L-isoleucine	root_PC3	-0.7773144050611575
guanine	root_PC3	-0.7698326715624194
gentiobiose	root_PC3	-0.768564059540765
L-valine	root_PC3	-0.7671430659892868
1-kestotriose	root_PC3	0.7667114655914321
L-methionine	root_PC3	-0.758546944706351
isocitrate	root_PC3	0.7474940702682529
NA	root_PC3	0.7462016095306352
L-alanine	root_PC3	-0.7402713602185106
sucrose	root_PC3	0.7234409948484828
L-threonate	root_PC3	-0.685029075704605
L,L-homocystine	root_PC3	-0.6794137215771462
L-leucine	root_PC3	-0.6791688688692864
L-tryptophan	root_PC3	-0.6722226620873459
monodehydroascorbate radical	root_PC3	0.6665641023555179
0	root_PC3	-0.6547149991542316
L-arabinitol	root_PC3	-0.6481584706434649
NA	root_PC3	0.6333630069426897
0	root_PC3	-0.6263844300218873
2-phenylethylamine	root_PC3	-0.6209533481055102
β-D-fructofuranose 6-phosphate	root_PC3	0.6160273381531568
α-D-glucose 6-phosphate	root_PC3	0.61590766842261635
0	root_PC3	0.6061029461580278
L-proline	root_PC3	-0.6044665249197494
0	root_PC3	0.5975300724508606
α-D-ribofuranose	root_PC3	-0.5857383860444221
1D-myo-inositol 4-monophosphate	root_PC3	0.5584497810928112
0	root_PC3	-0.5580153531144167
citrate	root_PC3	0.5501250060889519
L-quinate	root_PC3	0.5333478748408659
0	root_PC3	0.5313716564479319
phosphate	root_PC3	0.520806074752376
D-glucono-1,5-lactone	root_PC3	-0.5197033760066085
D-hexose 6-phosphate	root_PC3	0.5170051701988426
glycerol	root_PC3	-0.5168579774643958
uracil	root_PC3	-0.5129332490649756
ethanolamine	root_PC3	-0.5035237899922784
Brara.A00171		-0.08952454677376533
Brara.A00407		0.6402461438024167
Brara.A00487		-0.9216212785109161
Brara.A00575		-0.006508501978241831
Brara.A00663		-0.2559364169386916
Brara.A00771		0.021614749130171293
Brara.A00983		-0.1382122013879337
Brara.A01027		-0.07914188899341418
Brara.A01064		1.5214467892104966
Brara.A01067		-0.45250022413650465
Brara.A01068		-0.1341733652901777
Brara.A01222		0.46967877205707975
Brara.A01404		0.09822833836599551
Brara.A01511		0.24116568433236296
Brara.A01575		-0.04018793625922773
Brara.A01839		-0.008703305724248454
Brara.A01898		6.916437772891044e-4
Brara.A01977		0.3771464852149653
Brara.A02100		0.01669352913995614
Brara.A02124		0.027558564309005988
Brara.A02138		-0.3047898750868177
Brara.A02551		-0.026787391296597254
Brara.A02571		0.9868417896472221
Brara.A02643		-0.04268020324413202
Brara.A02878		0.11352277104935532
Brara.A02932		-0.05225556796295359
Brara.A02957		-0.12964710304503
Brara.A03446		0.0726255279753539
Brara.A03472		-0.012771339622564425
Brara.A03545		0.01981414773607476
