InX.FDR0.001,NAME,value,category3.up_down,tissue3,FC,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,InX
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.lightgreen,NA,minusMg_down,shoot,FC,0.0011979089534218505,0.9994254854393421,28,1024,0.04312472232318662,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.lightsteelblue1,NA,minusN_up,whole,FC,1.5311173492140494e-5,0.9999989778180208,6,54,5.512022457170578e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.maroon,NA,minusPi_down,shoot,FC,8.191956113890341e-6,0.9999993314406229,7,289,2.949104201000523e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.plum1,NA,minusMg_up,shoot,FC,1.4555513907620038e-4,0.9999006203422282,132,2044,0.005239985006743214,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.plum1,NA,plusMg_up,shoot,FC,5.194558647858354e-4,0.9997509665880785,33,304,0.009350205566145037,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.plum2,NA,minusMg_down,shoot,FC,2.3713791418634222e-5,0.9999930796599347,19,1024,8.536964910708319e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,leaf.voom5.module.signedhybrid.yellow4,NA,minusMg_down,shoot,FC,4.26946864837355e-9,0.9999999996804365,12,1024,1.537008713414478e-7,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.black,NA,minusMg_up,shoot,FC,1.4921381638571267e-8,1,54,2044,5.371697389885656e-7,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.black,NA,plusMg_down,shoot,FC,5.270847411428115e-4,0.9998657565195429,11,247,0.009487525340570608,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,minusMg_up,shoot,FC,3.902864813148285e-57,1,444,2044,1e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,minusPi_down,shoot,FC,1.5077872226458847e-10,1,66,289,2.7140170007625927e-9,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,heat_down,root,FC,6.4243498949942485e-6,0.9999969545145305,64,399,7.709219873993098e-5,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,minusMg_down,shoot,FC,4.386959059288581e-5,0.9999710899635378,135,1024,3.948263153359723e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,cold_down,root,FC,8.794618713563103e-5,0.9999471209546614,86,565,6.332125473765435e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,plusMg_up,shoot,FC,6.256193666046089e-4,0.9996591425480631,47,304,0.003753716199627653,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.blue,NA,cold_up,shoot,FC,0.003215779010065726,0.9980793687416281,48,317,0.01653829205176659,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,minusMg_up,shoot,FC,3.093145723542954e-25,1,140,2044,1e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,minusPi_down,shoot,FC,2.313562610237548e-8,0.9999999944681429,27,289,4.164412698427586e-7,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,plusMg_down,shoot,FC,7.692832191889851e-5,0.9999756017206769,19,247,9.231398630267821e-4,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,cold_up,shoot,FC,0.0010990720311139428,0.9995645094017662,19,317,0.009891648280025485,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,heat_down,root,FC,0.003324933534230878,0.9984451797542301,22,399,0.02393952144646232,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.brown,NA,cold_down,root,FC,0.006720286184448441,0.996440056362557,26,565,0.04032171710669064,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.cyan,NA,minusMn_down,root,FC,8.28325629381551e-14,1,21,107,1e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgreen,NA,minusFe_down,root,FC,3.5741756874763233e-4,0.9998895544733478,15,243,0.006688746270477441,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgreen,NA,minusPi_up,root,FC,5.38633422192458e-4,0.9998531315242508,12,183,0.006688746270477441,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgreen,NA,minusN_up,root,FC,7.159978374500391e-4,0.9997258874161119,19,375,0.006688746270477441,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgreen,NA,minusP_up,root,FC,7.43194030053049e-4,0.99995032961665,4,18,0.006688746270477441,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgrey,NA,minusMg_up,shoot,FC,1.6575838154269631e-12,1,66,2044,1e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgrey,NA,cold_up,shoot,FC,4.5658484799700795e-6,0.9999989833070219,16,317,8.218527263946144e-5,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkgrey,NA,minusPi_down,shoot,FC,1.0264936539608807e-4,0.9999748195597804,13,289,0.0012317923847530569,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkmagenta,NA,minusN_up,root,FC,2.207047729600624e-4,0.9999636079091716,8,375,0.007945371826562245,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkorange2,NA,minusMg_up,shoot,FC,5.85467204846535e-7,0.9999998815527724,18,2044,2.1076819374475258e-5,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkred,NA,minusN_up,root,FC,2.5078124405543864e-12,1,44,375,1e-10,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.darkred,NA,minusPi_up,shoot,FC,0.0015576451115847693,0.9993668627292684,19,247,0.028037612008525847,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.floralwhite,NA,minusMg_down,shoot,FC,1.4289985102347276e-4,0.9999365431580352,32,1024,0.0051443946368450195,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.greenyellow,NA,minusMg_up,shoot,FC,5.757266147473182e-4,0.9997349857565587,29,2044,0.020726158130903456,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.greenyellow,NA,plusMg_up,root,FC,0.0014335227551047513,0.9998720891620776,4,68,0.025803409591885523,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,cold_down,root,FC,4.604334367104003e-10,1,110,565,1.6575603721574412e-8,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,cold_down,shoot,FC,7.261799766904248e-4,0.9995856709357722,54,314,0.007881672887623259,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,cold_up,root,FC,7.623733910044007e-4,0.9997027891523929,22,95,0.007881672887623259,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,minusMg_down,shoot,FC,8.757414319581398e-4,0.9993645349531453,149,1024,0.007881672887623259,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,minusN_down,root,FC,0.0016138612774224566,0.9991979134885227,32,173,0.011619801197441687,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey,NA,minusMg_down,root,FC,0.007827381924830044,0.9973948854000407,11,47,0.04696429154898026,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey60,NA,minusN_up,root,FC,4.2361134799821104e-4,0.999872495034033,14,375,0.010609905861328863,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.grey60,NA,minusN_up,whole,FC,5.894392145182702e-4,0.9999401916974585,5,54,0.010609905861328863,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.lightsteelblue1,NA,minusMg_up,shoot,FC,5.5947435384700906e-5,0.9999843717620908,17,2044,0.0020141076738492327,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.lightsteelblue1,NA,cold_up,shoot,FC,0.002068052348175245,0.9997140112170458,5,317,0.037224942267154414,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.magenta,NA,plusMg_up,shoot,FC,1.4946499802576886e-4,0.9999671903473557,11,304,0.0053807399289276785,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.orangered4,NA,minusN_up,root,FC,0.0013556478943197014,0.9997839187268316,6,375,0.045937899581854916,In01
WGCNA.voom5.signedhybrid.all.moduleColors.customcatv5.In01.consolidated.FDR0.001.GOseq.csv,root.voom5.module.signedhybrid.orangered4,NA,minusPi_up,root,FC,0.002552105532325273,0.9997298480232367,4,183,0.045937899581854916,In01
