name,category
BraA04g010400.3C,IAAup
BraA09g008590.3C,IAAup
BraA02g010660.3C,IAAup
BraA06g027730.3C,IAAup
BraA02g003640.3C,IAAup
BraA10g024510.3C,IAAup
BraA02g045130.3C,IAAup
BraA09g019950.3C,IAAup
BraA10g022110.3C,IAAup
BraA02g005310.3C,IAAup
BraA06g027690.3C,IAAup
BraA04g002700.3C,IAAup
