metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_amt_leaf_cyano-l-alanine,2137.3333333333344,-634.9999999999999,-1144.6666666666658,779.1666666666657,0.04217834495452137,8.627833681978314e-4,0.0742895063867312,0.08808717346176759,-0.3050557876306654,0.14015574819817347,leaf,0.9751625897404994,0.0066021683827312315,0.8588094552981795,0.5139044100599693,FALSE
met_amt_leaf_cyanoalanine,2137.333333333334,-702.1666666666666,-1144.6666666666656,846.3333333333323,0.027459623759756045,9.367670031569314e-4,0.05617929843018617,0.08808717346176755,-0.25155420285609803,0.22764750715843524,leaf,0.9665787563434128,0.006869624689817497,0.8588094552981795,0.5833339206571589,FALSE
met_amt_leaf_coniferin NIST,323.16666666666674,34.99999999999997,154.16666666666657,-224.83333333333326,0.6858699170742639,0.08571033538095821,0.0770392534078717,0.08808717346176756,0.0871271195243785,0.6805794135582359,leaf,0.9751625897404994,0.17339102329940972,0.8588094552981795,0.890934875963949,FALSE
met_amt_leaf_citric acid,3360683.3333333335,1042271.6666666667,1119473.8333333337,83727.16666666666,0.09678826889273937,0.07597561063676302,0.922142777028002,0.08808717346176746,0.37136500367731456,0.0688708875013174,leaf,0.9751625897404994,0.16155067065315556,0.969456511353493,0.40704462641641764,FALSE
met_amt_leaf_citramalic acid,5804.500000000002,878.833333333333,222.33333333333454,-2143.333333333334,0.4444720122519863,0.8455433416800187,0.1935901092407566,0.08808717346176755,0.013894419357475186,0.9477565553336361,leaf,0.9751625897404994,0.917026354325434,0.8588094552981795,0.994237396080371,FALSE
met_amt_leaf_cis-sinapinic acid,2319.3333333333335,1250.8333333333337,-643.3333333333334,-1342.0000000000005,0.08726277540663878,0.36607280252201024,0.18766890410428125,0.08808717346176756,0.3510084080486465,0.08686825891796103,leaf,0.9751625897404994,0.5238114897875918,0.8588094552981795,0.4283785067306225,FALSE
met_amt_leaf_cis-caffeic acid,4773.166666666668,2416.166666666667,-3656.666666666664,-2596.3333333333353,0.13636238912187923,0.029230049508440572,0.252156218068591,0.08808717346176755,0.04093425400382143,0.8468688662651128,leaf,0.9751625897404994,0.08574147855809233,0.8588094552981795,0.9741759507363389,FALSE
met_amt_leaf_chlorogenic acid,702.8333333333333,-29.999999999999947,1075.6666666666672,-785.5000000000003,0.9651193222864962,0.12803168518559457,0.4219695978494461,0.08808717346176755,-0.03619043543600241,0.8644447517576703,leaf,0.9818554955053371,0.23472475617359004,0.8588094552981795,0.9856080149152994,FALSE
met_amt_leaf_cellobiose,12967.166666666672,-6084.000000000004,-1178.833333333332,2801.5,0.33233441845026734,0.849291453153669,0.7496856073757733,0.08808717346176755,-0.08431369227253961,0.6903876338721422,leaf,0.9751625897404994,0.917026354325434,0.9136093982458702,0.890934875963949,FALSE
met_amt_leaf_capric acid,597.8333333333336,-56.999999999999964,151.50000000000037,-133.50000000000034,0.6789076452566714,0.2774340564479312,0.49462359492214936,0.08808717346176755,-0.021654728243127967,0.9186548839150499,leaf,0.9751625897404994,0.4321335397061225,0.8764169507493572,0.994237396080371,FALSE
met_amt_leaf_butyrolactam NIST,2555.5000000000005,-801.8333333333326,464.3333333333342,2213.1666666666656,0.4379490887912356,0.6516499589208791,0.13808500965161075,0.08808717346176755,-0.07042529636998962,0.7394900870297358,leaf,0.9751625897404994,0.75454205769786,0.8588094552981795,0.8988997362186872,FALSE
met_amt_leaf_beta-sitosterol,13265.500000000005,-367.50000000000176,8528.166666666662,-7461.666666666664,0.9076398756437536,0.012998541883416415,0.10716433329957187,0.08808717346176753,0.17982183342492972,0.3924283111964909,leaf,0.9818554955053371,0.04766132023919352,0.8588094552981795,0.7333218337128661,FALSE
met_amt_leaf_beta-gentiobiose,17488.000000000004,-2055.3333333333344,584.3333333333354,-1727.000000000001,0.6252172011305418,0.8892432168608917,0.7712077826293615,0.08808717346176759,-0.3159521120584527,0.12581004471540116,leaf,0.9751625897404994,0.9428120853464876,0.9136093982458702,0.48136017108501317,FALSE
met_amt_leaf_beta-alanine,36599.333333333336,-3673.5,-5085.166666666657,1106.4999999999907,0.3859107043360952,0.23403525304858774,0.8521494769566118,0.08808717346176753,-0.030579216670232633,0.8853145403142227,leaf,0.9751625897404994,0.38139078274584665,0.9488441646522081,0.9856080149152994,FALSE
met_amt_leaf_benzoic acid,12424.5,-8266.333333333334,-7432.499999999999,6359.666666666667,0.009248279006976336,0.0175045677448523,0.13280067033839407,0.08808717346176755,-0.016084221307595025,0.9395365083719953,leaf,0.8138485526139175,0.057041893819638326,0.8588094552981795,0.994237396080371,FALSE
met_amt_leaf_aspartic acid,297325.00000000006,14847.8333333333,-88041.00000000001,-55042.99999999996,0.8312965809683239,0.21524542962984541,0.5778249375607178,0.08808717346176752,-0.312765740463877,0.12989006212109777,leaf,0.9818554955053371,0.35738863787596975,0.8764169507493572,0.4863968283683661,FALSE
met_amt_leaf_asparagine,9340.500000000002,-1132.3333333333328,-5535.666666666665,2084.833333333332,0.41952942438464025,6.567178842733081e-4,0.2960135177220976,0.0880871734617675,-0.5486480793455052,0.004613946935959164,leaf,0.9751625897404994,0.005253743074186465,0.8588094552981795,0.11702253171471007,FALSE
met_amt_leaf_aminomalonate,9472.66666666667,-1961.5000000000007,-7706.166666666666,1535.9999999999977,0.22241385259510502,7.755215583839866e-5,0.4936372223739306,0.08808717346176759,-0.45279096344281405,0.023569092439836903,leaf,0.9751625897404994,0.0013730489757824735,0.8764169507493572,0.23045334830062753,FALSE
met_amt_leaf_alpha-ketoglutarate,64114.50000000002,23562.999999999978,-27661.83333333332,-16911.999999999996,0.07533413079458741,0.039544177566624206,0.3524232962571946,0.08808717346176752,0.21137247574860663,0.3131611684071284,leaf,0.9751625897404994,0.10387724256307254,0.8588094552981795,0.656147209995888,FALSE
met_amt_leaf_alpha-aminoadipic acid,333.50000000000006,58.166666666666714,94.50000000000011,-103.50000000000016,0.42670110812589346,0.2023369963110251,0.3195037163112484,0.0880871734617675,0.2428775067921232,0.24464311582286863,leaf,0.9751625897404994,0.3457408869003924,0.8588094552981795,0.5844533748797788,FALSE
met_amt_leaf_allantoic acid,228.16666666666669,-11.833333333333327,96.83333333333339,-83.16666666666676,0.7932038388475098,0.041876585518658284,0.20163036172159882,0.08808717346176755,-0.0073307466868343515,0.9724229314946091,leaf,0.9818554955053371,0.10681563842440372,0.8588094552981795,0.9950374182735535,FALSE
met_amt_leaf_alanine-alanine,4272.000000000001,-317.1666666666665,-1525.6666666666665,967.4999999999995,0.6559992665229285,0.0417862901722647,0.34102885471023203,0.08808717346176755,-0.15816017998461696,0.45281131670590413,leaf,0.9751625897404994,0.10681563842440372,0.8588094552981795,0.7682678497482236,FALSE
met_amt_leaf_alanine,1106997.666666667,-314546.1666666666,-803496.4999999995,308008.6666666662,0.024211565329479497,4.401262567696059e-6,0.10688959623847523,0.08808717346176745,-0.6697757872265052,2.487148434405197e-4,leaf,0.9665787563434128,2.5820740397150207e-4,0.8588094552981795,0.021886906222765734,FALSE
met_amt_leaf_adenosine,32250.500000000015,2998.6666666666647,2938.3333333333385,-6437.6666666666715,0.5997575142441027,0.6070681755512909,0.42778054750555927,0.08808717346176752,-0.12747366960848494,0.5460580225256657,leaf,0.9751625897404994,0.7219189114664,0.8588094552981795,0.8285018272803203,FALSE
met_amt_leaf_adenine,31415.666666666675,4545.500000000003,-11531.499999999984,-3538.1666666666824,0.618924957991316,0.21460793766433467,0.7838082013039781,0.08808717346176764,-0.5156052566128597,0.00853822073951098,leaf,0.9751625897404994,0.35738863787596975,0.9136093982458702,0.16696965001710362,FALSE
met_amt_leaf_aconitic acid,9722.500000000002,4136.166666666669,4492.833333333338,-1748.6666666666724,0.09976415111667185,0.07549489023794324,0.6115237255029851,0.08808717346176757,0.1754769218919754,0.4041603288076592,leaf,0.9751625897404994,0.16155067065315556,0.8764169507493572,0.7333218337128661,FALSE
met_amt_leaf_6-deoxyglucose,5569.000000000003,1581.1666666666654,3687.166666666668,-3357.166666666667,0.2443231564479218,0.011122747407384087,0.08680612315307398,0.08808717346176759,-0.1756134648699424,0.4037886972328878,leaf,0.9751625897404994,0.042556598776078244,0.8588094552981795,0.7333218337128661,FALSE
met_amt_leaf_5'-deoxy-5'-methylthioadenosine,406.66666666666674,-89.00000000000007,49.000000000000036,-31.000000000000014,0.26568922564422665,0.5355417350460427,0.7808172006797831,0.08808717346176756,0.12170606124643596,0.5645164616576177,leaf,0.9751625897404994,0.6780960098424713,0.9136093982458702,0.8308775080463491,FALSE
met_amt_leaf_5-aminovaleric acid,1561.4999999999998,679.0000000000009,2172.1666666666692,-1485.8333333333358,0.41130248362946265,0.014252807462724986,0.2089054172433682,0.08808717346176759,0.3171928227262258,0.12424674822719982,leaf,0.9751625897404994,0.04866334890843811,0.8588094552981795,0.48136017108501317,FALSE
met_amt_leaf_4-hydroxybutyric acid,3117.1666666666656,1095.6666666666672,3772.666666666669,-3114.8333333333353,0.5533818423934511,0.05102503798304792,0.23968918998697447,0.08808717346176755,0.1834139266587226,0.3828758159368797,leaf,0.9751625897404994,0.11816324585547941,0.8588094552981795,0.7324580826618569,FALSE
met_amt_leaf_4-hydroxybenzoate,1179.5000000000007,-23.333333333333247,520.6666666666669,-316.8333333333337,0.9190857856252084,0.03264309252756583,0.33506766230488416,0.08808717346176759,-0.09426885288469782,0.6559094199816504,leaf,0.9818554955053371,0.09266426265889656,0.8588094552981795,0.8812218161585532,FALSE
met_amt_leaf_4-aminobutyric acid,4549.833333333335,-2007.8333333333323,511.50000000000216,9025.166666666664,0.6439522917543481,0.9060343310097686,0.15142509611559998,0.08808717346176757,-0.2685591317011271,0.19665514572371828,leaf,0.9751625897404994,0.9548625284893371,0.8588094552981795,0.5833339206571589,FALSE
met_amt_leaf_3-hydroxypropionic acid,2204.8333333333344,195.83333333333331,224.500000000001,-577.1666666666675,0.40003203061597603,0.33601728830676714,0.08826798151969555,0.08808717346176753,0.4617283231811793,0.020625297387727115,leaf,0.9751625897404994,0.4914036270082529,0.8588094552981795,0.22687827126499827,FALSE
met_amt_leaf_3-hydroxy-3-methylglutaric acid,570.3333333333336,-285.3333333333335,-333.33333333333326,247.6666666666666,0.08478903076277623,0.046840697905888296,0.2788818147070596,0.08808717346176756,-0.1233523327880544,0.5592194328242942,leaf,0.9751625897404994,0.11140490312751812,0.8588094552981795,0.8308775080463491,FALSE
met_amt_leaf_3-aminoisobutyric acid,2920.5,-362.6666666666663,-378.3333333333327,263.66666666666595,0.3582418293181652,0.3383091555505252,0.6340382503999338,0.08808717346176756,-0.027712212554952896,0.8960072862866357,leaf,0.9751625897404994,0.4914036270082529,0.8856407307173678,0.9856080149152994,FALSE
"met_amt_leaf_3,4-dihydroxycinnamic acid",24129.500000000007,-292.1666666666654,-20369.16666666666,-743.6666666666747,0.9362752437407884,1.5919737332951966e-5,0.8855995361273091,0.08808717346176756,0.37174750750806973,0.06856243037413899,leaf,0.9818554955053371,4.6697896176659096e-4,0.9608032538175093,0.40704462641641764,FALSE
met_amt_leaf_2-ketoisocaproic acid,1556.0000000000002,-56.49999999999985,-23.999999999999353,-249.50000000000068,0.9101061302217606,0.9617434172073216,0.7248019352902957,0.08808717346176756,-0.32238348397272093,0.11785908951025702,leaf,0.9818554955053371,0.9841095431888872,0.9136093982458702,0.48136017108501317,FALSE
met_amt_leaf_2-ketoglucose dimethylacetal NIST,1072.3333333333335,-109.33333333333323,-70.16666666666617,-174.66666666666714,0.4099603871196551,0.5950817628784155,0.35309777987658786,0.08808717346176757,-0.11290295684051375,0.5932148620724498,leaf,0.9751625897404994,0.7138250918824068,0.8588094552981795,0.8352465257980093,FALSE
met_amt_leaf_2-hydroxyglutaric acid,10198.833333333336,-1240.1666666666665,-2688.3333333333326,574.9999999999984,0.5010336714714922,0.15300596112953482,0.8245172294663365,0.08808717346176755,-0.013287626015493938,0.9500352777200631,leaf,0.9751625897404994,0.2692904915879813,0.9331145021713784,0.994237396080371,FALSE
met_amt_leaf_2'-deoxyguanosine,315.33333333333314,-33.6666666666667,173.83333333333334,-169.49999999999997,0.7184471225728369,0.07360543703051775,0.20777505636781557,0.08808717346176755,-0.02789921160580091,0.8953093008773907,leaf,0.9802069269210798,0.16155067065315556,0.8588094552981795,0.9856080149152994,FALSE
met_amt_leaf_2-aminobutyric acid,4455.5,1166,-65.16666666666532,-2086.666666666668,0.31518172819188706,0.9546538560640009,0.20712982081915055,0.08808717346176755,0.0054829310423666535,0.9793724281708729,leaf,0.9751625897404994,0.9825677115044686,0.8588094552981795,0.99635576507557,FALSE
"met_amt_leaf_2,5-dihydroxypyrazine NIST",1293.5000000000002,850.9999999999998,1012.833333333333,-1218.333333333333,0.1499388715384374,0.08993862967403274,0.14523358273059483,0.08808717346176759,-0.2550181880269051,0.22108658535530945,leaf,0.9751625897404994,0.17785616654640182,0.8588094552981795,0.5833339206571589,FALSE
