metabolite,beta,p.value.trt,p.value.leaf,FDR.trt,FDR.leaf
met_per_mg_root_melezitose,-0.03614325818941732,0.09566571116686638,0.005673078966033588,0.19133142233373276,0.011346157932067176
met_per_mg_leaf_ferulic acid,0.032875887982333735,0.5011407520065416,0.014356651726961848,0.6970885585952384,0.028713303453923696
met_per_mg_leaf_glucose-6-phosphate,0.030997089340720135,0.30720368357935823,0.0054606174423654265,0.5534561723749584,0.010921234884730853
"met_per_mg_leaf_3,4-dihydroxycinnamic acid",0.02524040649296428,0.5155118934350051,0.020833836701448744,0.706748200766038,0.04166767340289749
met_per_mg_leaf_ribonic acid,-0.024112842841089114,0.6819781026271586,0.03528057239809706,0.8128311428571131,0.07056114479619412
met_per_mg_leaf_isoleucine,-0.023036568128388717,0.07824246042585734,0.003205434053646945,0.15648492085171467,0.00641086810729389
met_per_mg_root_guanine,-0.02273576404000606,0.2601214833451235,0.0028665470069119824,0.512949729402042,0.005733094013823965
met_per_mg_root_fructose-6-phosphate,0.021243184282280347,0.001995539365509181,0.013026615133975496,0.003991078731018362,0.02605323026795099
met_per_mg_root_gluconic acid lactone,-0.0202815351569203,0.2977463075429609,0.01168866576395472,0.5455646691414521,0.02337733152790944
met_per_mg_root_gluconic acid,-0.017537553035366006,0.7796354425993665,0.005203970772630916,0.8716192962818222,0.010407941545261833
met_per_mg_root_pseudo uridine,-0.017257063589179743,0.4651463063477377,0.0025980239537275996,0.6724317899104422,0.005196047907455199
met_per_mg_leaf_glyceric acid,0.01705565009426409,0.2502835870091413,0.0329154796986713,0.5005671740182825,0.0658309593973426
met_per_mg_leaf_valine,-0.016431110989378037,0.07866877000718067,0.003600809814314635,0.15733754001436134,0.00720161962862927
met_per_mg_leaf_fructose-6-phosphate,0.016358596197703433,0.366880731995717,0.007957830781291107,0.6009272578269724,0.015915661562582215
met_per_mg_root_1-methylgalactose NIST,-0.016246548489481805,0.5346336221460297,0.011704337474209096,0.7194523422536032,0.023408674948418192
met_per_mg_leaf_pyrrole-2-carboxylic acid,-0.01610405821619407,0.27322621287448934,0.005483571363606819,0.5245462705757804,0.010967142727213637
met_per_mg_leaf_adenine,-0.014283047440117467,0.7987211929531872,0.003587453874433837,0.8829163441379403,0.007174907748867674
met_per_mg_leaf_dehydroascorbic acid,0.013618390558303257,0.27774009065991323,0.021579407368249245,0.5284796485532302,0.04315881473649849
met_per_mg_leaf_homoserine,-0.012879511960166713,0.1126464014965504,0.009215726222111777,0.2252928029931008,0.018431452444223555
met_per_mg_root_phenylethylamine,-0.01271108706413806,0.16976472969811343,0.00939868828372952,0.33952945939622686,0.01879737656745904
met_per_mg_root_cyano-l-alanine,-0.011842396393727136,0.01969170901077273,0.013548910784193359,0.03938341802154546,0.027097821568386717
met_per_mg_leaf_ribose,-0.010890494012756147,0.47655410562943157,0.004673226840288261,0.6803218555248463,0.009346453680576522
met_per_mg_leaf_n-acetyl-d-hexosamine,0.010150548240273262,0.5932862543985482,0.0667062301488628,0.7574830103440893,0.1334124602977256
met_per_mg_root_proline,-0.009058491469336055,0.27047734749477076,0.01305343333769539,0.5221359368416916,0.02610686667539078
met_per_mg_leaf_asparagine,-0.008505911139842925,0.6505752050237512,0.029741412506600853,0.7934873929818016,0.05948282501320171
met_per_mg_leaf_pseudo uridine,-0.007874251339542717,0.3386903260161789,0.012067954811008452,0.578966954306451,0.024135909622016904
met_per_mg_leaf_threonic acid,-0.006826427494334858,0.4640285178440614,0.049787680038725066,0.6716547152048626,0.09957536007745013
met_per_mg_root_glucose,-0.006310918452328912,0.06977571358317095,0.008765417031993602,0.1395514271663419,0.017530834063987203
met_per_mg_leaf_nicotinamide,-0.005356091379119932,0.31259627341211504,0.028931782601393015,0.5579062359619937,0.05786356520278603
met_per_mg_root_glucose-6-phosphate,0.004391072190840554,0.0011095160823307003,0.022100912534115724,0.0022190321646614005,0.04420182506823145
met_per_mg_leaf_hypoxanthine,-0.004202910249085369,0.853726991821176,0.04182396560242665,0.9152164109483858,0.0836479312048533
met_per_mg_leaf_melibiose,-0.003951863770859328,0.4197273963386706,0.018252732257894696,0.6402376987347143,0.03650546451578939
met_per_mg_root_spermidine,-0.0032220918062330108,0.5867588429572055,0.02269226202141388,0.7533141098090265,0.04538452404282776
met_per_mg_leaf_leucine,-0.0028612401529869943,0.43673743045984925,0.0057942737507444796,0.652449538769527,0.011588547501488959
met_per_mg_root_melibiose,-0.001873376704098404,0.21612104487266,0.030741718206659704,0.43224208974532,0.06148343641331941
met_per_mg_root_cyanoalanine,-0.0014192960493414003,0.009658464656968638,0.021514376321700335,0.019316929313937276,0.04302875264340067
met_per_mg_leaf_lysine,-0.0012225512285626333,0.9539489669314447,0.029894038723651695,0.973402132930103,0.05978807744730339
