metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_root_benzoic acid,129.6538321417227,69.37580760918108,-95.9651728736317,-82.2447765722584,0.4126699817769739,0.2607767201766735,0.49116670728042133,0.08808717346176755,-0.27181890855676427,0.1910600150937008,root,0.5556050458361846,0.5099633639010505,0.7085683646012636,0.44245477179593873,FALSE
met_per_mg_root_aspartic acid,2489.7128631442956,7974.892671445932,-2140.5331143470894,-7516.234951274798,0.06081169492775273,0.5997119612150654,0.20040090454718618,0.08808717346176756,-0.36432796629741643,0.07473680113198089,root,0.3106206958678099,0.7180224841758607,0.664635611781541,0.37891365039364194,FALSE
met_per_mg_root_asparagine,101.44793972967143,381.4085570450541,-80.73863727717307,-367.61348321590964,0.08777025176472332,0.7079573749871093,0.23539795954071352,0.08808717346176748,-0.44124486262128726,0.027864002105652427,root,0.3106206958678099,0.79192760232524,0.664635611781541,0.33387160407201105,FALSE
met_per_mg_root_aminomalonate,58.54020165857133,-43.62439652009308,-56.1103577326363,43.7050495504458,0.010646472919884305,0.0016937271713393163,0.059770269748146435,0.08808717346176753,0.04705958384668901,0.8242799782497849,root,0.17034356671814888,0.034576376822596594,0.664635611781541,0.8845931473900132,FALSE
met_per_mg_root_alpha-ketoglutarate,575.5527159548433,161.8004692395539,-475.7478005073836,-122.31505857066188,0.2515338610184514,0.0024063204424497058,0.5350619328213142,0.08808717346176755,0.21464152769523678,0.3055540949733535,root,0.42629038426060667,0.03850112707919529,0.7322247326026743,0.5494296384874691,FALSE
met_per_mg_root_alpha-aminoadipic acid,10.050382783500243,5.035096874399006,-6.4137164948822765,-4.935315356622456,0.18264944619188186,0.09394524234044946,0.3500631170327604,0.08808717346176755,-0.0014628377801383981,0.9944960651078947,root,0.3601218650271284,0.31796851253690583,0.664635611781541,0.9959081668136527,FALSE
met_per_mg_root_allantoic acid,26.58797978819787,-4.914846361550073,-22.28126649858116,6.519248630234419,0.7307853599358733,0.1293628627753378,0.7468587759383356,0.08808717346176753,-0.197139520278694,0.3476157560909183,root,0.7988709524764828,0.3393311993671618,0.8372429590136755,0.5798620878019449,FALSE
met_per_mg_root_alanine-alanine,43.682655091673446,235.2531625617337,-34.711408864326614,-228.02824924450914,0.10160189367908186,0.8026956832499146,0.2533371608346438,0.08808717346176753,-0.38219498103174643,0.060538523323730234,root,0.3106206958678099,0.8510508448914758,0.664635611781541,0.3610515349524618,FALSE
met_per_mg_root_alanine,4568.497820240094,7078.240583212062,-3812.1289907918185,-6657.365672357026,0.15984322501864537,0.44092770413919335,0.34317724419562734,0.08808717346176757,-0.38128361771945934,0.06120822441978902,root,0.34695610113653463,0.6476494561444777,0.664635611781541,0.3610515349524618,FALSE
met_per_mg_root_adenosine,78.52072077698888,-8.450888033587983,-76.72516917340346,13.70603283467012,0.8394917712615062,0.077219109794073,0.8163498065688584,0.08808717346176756,0.0514438007843266,0.8081935846146735,root,0.8847338427666174,0.2985495587161063,0.8760827192446285,0.878037474643102,FALSE
met_per_mg_root_adenine,888.9163881783896,1988.0052987035372,-709.3255093089762,-1876.3325935579544,0.0973714701560933,0.5419053642609217,0.25942743104280797,0.08808717346176755,-0.3569234691438632,0.08131065278436041,root,0.3106206958678099,0.6926575869714768,0.664635611781541,0.37891365039364194,FALSE
met_per_mg_root_aconitic acid,61.00237764058893,226.9214305410842,-56.506421528327,-219.01421685355768,0.05874377320971081,0.6231204698672297,0.18648344979511322,0.08808717346176752,-0.307420555957249,0.13694736382674724,root,0.3106206958678099,0.7339724768520635,0.664635611781541,0.4085209497204664,FALSE
met_per_mg_root_6-deoxyglucose,144.13884258262945,170.59145563216347,-112.82254057422135,-150.23434061770013,0.10778700406536647,0.2786874383972605,0.30692540554709746,0.08808717346176755,-0.40777092841137513,0.04394244263545999,root,0.3106206958678099,0.5331411864991071,0.664635611781541,0.3610515349524618,FALSE
met_per_mg_root_5'-deoxy-5'-methylthioadenosine,6.68089133745912,10.891129527663287,-4.948044542671087,-10.770591303977708,0.02522351336388981,0.2848423997278149,0.10626717282056859,0.08808717346176753,-0.27458418414051583,0.18639984531611098,root,0.3106206958678099,0.534372087052703,0.664635611781541,0.4420497250252129,FALSE
