sampleID,fullname,exp,pot,soil,tissue,genotype,autoclave,leaf_avg,group,leaf_avg_std,leaf_avg_resid
wyo_root_FPsc_12_523,wyo_root_FPsc_12_523,exp1,523,5E,root,FPsc,live,3.5328640505,exp1_FPsc,1.5447921295844689,0.6407864912500003
a1_5e_live_cr_3_a42,a1_5e_live_cr_3_a42_S1,exp_density,A42,5E,root,FPsc,live,4.9833333333333,exp_density_FPsc,0.71256452505974,0.22916666666663082
a2_5e_dead_cr_3_a44,a2_5e_dead_cr_3_a44_S2,exp_density,A44,5E,root,FPsc,dead,4.4333333333333,exp_density_FPsc,-0.9975903350839049,-0.320833333333369
a5_5e_dead_cr_3_a54,a5_5e_dead_cr_3_a54_S5,exp_density,A54,5E,root,FPsc,dead,4.9333333333333,exp_density_FPsc,0.5570959014103182,0.179166666666631
a6_5e_live_cr_3_a56,a6_5e_live_cr_3_a56_S6,exp_density,A56,5E,root,FPsc,live,5.1333333333333,exp_density_FPsc,1.178970396008008,0.3791666666666312
b1_5e_live_cr_3_a42,b1_5e_live_cr_3_a42_S9,exp_density,A42,5E,leaf,FPsc,live,4.9833333333333,exp_density_FPsc,0.71256452505974,0.22916666666663082
b2_5e_dead_cr_3_a44,b2_5e_dead_cr_3_a44_S10,exp_density,A44,5E,leaf,FPsc,dead,4.4333333333333,exp_density_FPsc,-0.9975903350839049,-0.320833333333369
b5_5e_dead_cr_3_a54,b5_5e_dead_cr_3_a54_S13,exp_density,A54,5E,leaf,FPsc,dead,4.9333333333333,exp_density_FPsc,0.5570959014103182,0.179166666666631
b6_5e_live_cr_3_a56,b6_5e_live_cr_3_a56_S14,exp_density,A56,5E,leaf,FPsc,live,5.1333333333333,exp_density_FPsc,1.178970396008008,0.3791666666666312
c2_5e_dead_cr_6_a104,c2_5e_dead_cr_6_a104_S18,exp_density,A104,5E,root,FPsc,dead,4.6166666666667,exp_density_FPsc,-0.42753871503581525,-0.13749999999996881
c3_5e_live_cr_6_a109,c3_5e_live_cr_6_a109_S19,exp_density,A109,5E,root,FPsc,live,4.8333333333333,exp_density_FPsc,0.2461586541114747,0.07916666666663136
c7_5e_dead_cr_6_a119,c7_5e_dead_cr_6_a119_S23,exp_density,A119,5E,root,FPsc,dead,4.2666666666667,exp_density_FPsc,-1.5158190805817704,-0.4874999999999685
c8_5e_live_cr_6_a120,c8_5e_live_cr_6_a120_S24,exp_density,A120,5E,root,FPsc,live,5.1166666666667,exp_density_FPsc,1.127147521458408,0.3625000000000312
d2_5e_dead_cr_6_a104,d2_5e_dead_cr_6_a104_S26,exp_density,A104,5E,leaf,FPsc,dead,4.6166666666667,exp_density_FPsc,-0.42753871503581525,-0.13749999999996881
d3_5e_live_cr_6_a109,d3_5e_live_cr_6_a109_S27,exp_density,A109,5E,leaf,FPsc,live,4.8333333333333,exp_density_FPsc,0.2461586541114747,0.07916666666663136
d7_5e_dead_cr_6_a119,d7_5e_dead_cr_6_a119_S31,exp_density,A119,5E,leaf,FPsc,dead,4.2666666666667,exp_density_FPsc,-1.5158190805817704,-0.4874999999999685
d8_5e_live_cr_6_a120,d8_5e_live_cr_6_a120_S32,exp_density,A120,5E,leaf,FPsc,live,5.1166666666667,exp_density_FPsc,1.127147521458408,0.3625000000000312
e1_5e_dead_cr_8_a142,e1_5e_dead_cr_8_a142_S33,exp_density,A142,5E,root,FPsc,dead,4.0666666666667,exp_density_FPsc,-2.13769357517946,-0.6874999999999687
e4_5e_live_cr_8_a151,e4_5e_live_cr_8_a151_S36,exp_density,A151,5E,root,FPsc,live,5.05,exp_density_FPsc,0.9198560232590739,0.295833333333331
e6_5e_dead_cr_8_a153,e6_5e_dead_cr_8_a153_S38,exp_density,A153,5E,root,FPsc,dead,4.875,exp_density_FPsc,0.3757158404860964,0.12083333333333118
e7_5e_live_cr_8_a157,e7_5e_live_cr_8_a157_S39,exp_density,A157,5E,root,FPsc,live,4.6166666666667,exp_density_FPsc,-0.42753871503581525,-0.13749999999996881
f1_5e_dead_cr_8_a142,f1_5e_dead_cr_8_a142_S41,exp_density,A142,5E,leaf,FPsc,dead,4.0666666666667,exp_density_FPsc,-2.13769357517946,-0.6874999999999687
f4_5e_live_cr_8_a151,f4_5e_live_cr_8_a151_S44,exp_density,A151,5E,leaf,FPsc,live,5.05,exp_density_FPsc,0.9198560232590739,0.295833333333331
f6_5e_dead_cr_8_a153,f6_5e_dead_cr_8_a153_S46,exp_density,A153,5E,leaf,FPsc,dead,4.875,exp_density_FPsc,0.3757158404860964,0.12083333333333118
f7_5e_live_cr_8_a157,f7_5e_live_cr_8_a157_S47,exp_density,A157,5E,leaf,FPsc,live,4.6166666666667,exp_density_FPsc,-0.42753871503581525,-0.13749999999996881
g3_5e_dead_cr_12_a228,g3_5e_dead_cr_12_a228_S51,exp_density,A228,5E,root,FPsc,dead,4.5166666666667,exp_density_FPsc,-0.7384759623346588,-0.23749999999996846
g6_5e_dead_cr_12_a235,g6_5e_dead_cr_12_a235_S54,exp_density,A235,5E,root,FPsc,dead,4.7,exp_density_FPsc,-0.16842434228688116,-0.05416666666666864
g7_5e_live_cr_12_a236,g7_5e_live_cr_12_a236_S55,exp_density,A236,5E,root,FPsc,live,5.225,exp_density_FPsc,1.4639962060320515,0.47083333333333083
g8_5e_live_cr_12_a240,g8_5e_live_cr_12_a240_S56,exp_density,A240,5E,root,FPsc,live,4.7,exp_density_FPsc,-0.16842434228688116,-0.05416666666666864
h3_5e_dead_cr_12_a228,h3_5e_dead_cr_12_a228_S59,exp_density,A228,5E,leaf,FPsc,dead,4.5166666666667,exp_density_FPsc,-0.7384759623346588,-0.23749999999996846
h6_5e_dead_cr_12_a235,h6_5e_dead_cr_12_a235_S62,exp_density,A235,5E,leaf,FPsc,dead,4.7,exp_density_FPsc,-0.16842434228688116,-0.05416666666666864
h7_5e_live_cr_12_a236,h7_5e_live_cr_12_a236_S63,exp_density,A236,5E,leaf,FPsc,live,5.225,exp_density_FPsc,1.4639962060320515,0.47083333333333083
h8_5e_live_cr_12_a240,h8_5e_live_cr_12_a240_S64,exp_density,A240,5E,leaf,FPsc,live,4.7,exp_density_FPsc,-0.16842434228688116,-0.05416666666666864
