Module_Name,Module_Organ,Pct_Var_Explained,Effect
paleturquoise,root,9.8,Increase
lightyellow,root,9.2,Increase
yellowgreen,root,8,Decrease
red,leaf,7.5,Increase
plum1,root,5.7,Decrease
midnightblue,leaf,5.7,Decrease
brown4,leaf,5.2,Decrease
lightsteelblue1,leaf,4.3,Decrease
thistle2,leaf,4.3,Decrease
