ME,PropVar_0.5_LOO,beta_elastic0.5_full_LOO
MEpaleturquoise_root,0.10879817949249782,0.989268658901205
MElightyellow_root,0.10415308421344492,0.9434415298096521
MEyellowgreen_root,-0.09450595070089775,-0.821711515011312
MEred_leaf,0.08603956872051462,0.6091808615137739
MEplum1_root,-0.06595215280086651,-0.5902476259512396
MEbrown4_leaf,-0.05603909359107311,-0.2634136852868626
MElightsteelblue1_leaf,-0.04627235914193199,-0.40373027565917213
MEthistle2_leaf,-0.03371766108869879,-0.2528391736243819
MEdarkturquoise_leaf,-0.026250059136601687,-0.08589958330403659
