sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Cyanobacteria,0.002937592,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,< 1% abundance,0.000326399,r_b10,blk10.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Proteobacteria,0.511032292,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Firmicutes,0.146226826,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Bacteroidetes,0.162329184,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Actinobacteria,0.172860997,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Planctomycetes,0,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Verrucomicrobia,0.004221429,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Chloroflexi,0,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Acidobacteria,0,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,Cyanobacteria,0.002763513,r_b12,blk12.R500
R500.5E.dead.wk2.blk12.Db8.pot504,R500,Disrupted,blk12,s_20,< 1% abundance,0.000565759,r_b12,blk12.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Proteobacteria,0.443141266,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Firmicutes,0.343415441,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Bacteroidetes,0.106406128,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Actinobacteria,0.10542693,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Planctomycetes,0,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Verrucomicrobia,0.000239359,r_b02,blk02.R500
R500.5E.dead.wk2.blk2.Db1.pot59,R500,Disrupted,blk02,s_21,Chloroflexi,0,r_b02,blk02.R500
