sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Actinobacteria,0.067542867,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Planctomycetes,0,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Verrucomicrobia,0.002001915,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Chloroflexi,0,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Acidobacteria,0,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,Cyanobacteria,0.007246061,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk4.Db2.pot141,FPsc,Disrupted,blk04,s_04,< 1% abundance,0.000913918,F_b04,blk04.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Proteobacteria,0.461811298,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Firmicutes,0.212899295,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Bacteroidetes,0.229066934,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Actinobacteria,0.083797545,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Planctomycetes,0,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Verrucomicrobia,0.006963182,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Chloroflexi,0,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Acidobacteria,0,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,Cyanobacteria,0.004852468,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk5.Db3.pot181,FPsc,Disrupted,blk05,s_05,< 1% abundance,0.000609278,F_b05,blk05.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Proteobacteria,0.497345287,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Firmicutes,0.300200191,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Bacteroidetes,0.13273566,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Actinobacteria,0.056467055,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Planctomycetes,0,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Verrucomicrobia,0.007006702,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Chloroflexi,0,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Acidobacteria,0,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,Cyanobacteria,0.00380799,F_b07,blk07.FPsc
FPsc.5E.dead.wk2.blk7.Db4.pot272,FPsc,Disrupted,blk07,s_06,< 1% abundance,0.002437114,F_b07,blk07.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Proteobacteria,0.538515101,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Firmicutes,0.032835756,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Bacteroidetes,0.218513361,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Actinobacteria,0.134193576,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Planctomycetes,0.021629385,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Verrucomicrobia,0.024675777,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Chloroflexi,0.010248934,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Acidobacteria,0.008551658,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,Cyanobacteria,0.001501436,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk10.Db7.pot428,FPsc,Live,blk10,s_07,< 1% abundance,0.009335016,F_b10,blk10.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Proteobacteria,0.525720254,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Firmicutes,0.040321177,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Bacteroidetes,0.244059535,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Actinobacteria,0.109778919,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Planctomycetes,0.021999304,F_b12,blk12.FPsc
FPsc.5E.live.wk2.blk12.Db9.pot523,FPsc,Live,blk12,s_08,Verrucomicrobia,0.022173383,F_b12,blk12.FPsc
