exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
PGP Exp.,48,NA,2,1,2,1,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.306466835,RNAseq,3,wk4,NA,2.29170603,2.322054278
PGP Exp.,50,NA,2,1,5,2,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.549530717,RNAseq,3,wk4,NA,3.499556772,3.610278358
PGP Exp.,52,NA,2,1,3,2,FPsc,NA,Live,avg_lf_03.24_no_germ,2.934934894,RNAseq,3,wk2,NA,2.787780659,3.077942239
PGP Exp.,53,NA,2,1,2,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.368268227,RNAseq,3,wk4,NA,2.421113993,2.311275572
PGP Exp.,55,NA,2,1,5,3,R500,NA,Live,avg_lf_03.24_no_germ,3.749530717,RNAseq,3,wk2,NA,4.199556772,3.310278358
PGP Exp.,59,NA,2,1,1,3,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.366197384,RNAseq,3,wk2,NA,3.266223438,3.476945024
PGP Exp.,63,NA,2,1,2,4,R500,NA,No inoculation,avg_lf_03.24_no_germ,2.927998776,RNAseq,3,wk4,NA,3.328964734,2.532832985
PGP Exp.,64,NA,2,1,1,4,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.534934894,RNAseq,3,wk2,NA,2.721113993,2.344608905
PGP Exp.,65,NA,2,1,5,5,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.85160156,RNAseq,3,wk2,NA,2.754447326,2.944608905
PGP Exp.,72,NA,2,1,8,1,FPsc,NA,Live,avg_lf_03.24_no_germ,3.60160156,RNAseq,3,wk4,NA,3.621113993,3.577942239
PGP Exp.,73,NA,2,1,9,1,R500,NA,Live,avg_lf_03.24_no_germ,3.099530717,RNAseq,3,wk4,NA,3.399556772,2.810278358
PGP Exp.,82,NA,2,1,6,4,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.061332109,RNAseq,3,wk2,NA,4.428964734,3.699499651
PGP Exp.,93,NA,3,1,1,1,R500,NA,Live,avg_lf_03.24_no_germ,3.732864051,phys,3,wk4,NA,3.932890105,3.543611691
PGP Exp.,97,NA,3,1,2,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,1.916197384,phys,3,wk4,NA,1.999556772,1.843611691
PGP Exp.,98,NA,3,1,1,2,FPsc,NA,Live,avg_lf_03.24_no_germ,2.261332109,phys,3,wk4,NA,2.528964734,1.999499651
PGP Exp.,107,NA,3,1,2,4,R500,NA,No inoculation,avg_lf_03.24_no_germ,2.932864051,phys,3,wk2,NA,3.166223438,2.710278358
PGP Exp.,109,NA,3,1,5,5,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.918268227,phys,3,wk4,NA,3.121113993,2.711275572
PGP Exp.,114,NA,3,1,6,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.182864051,phys,3,wk4,NA,4.666223438,3.710278358
PGP Exp.,115,NA,3,1,7,1,FPsc,NA,Live,avg_lf_03.24_no_germ,3.332864051,phys,3,wk2,NA,4.132890105,2.543611691
PGP Exp.,117,NA,3,1,9,1,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.399530717,phys,3,wk2,NA,2.699556772,2.110278358
PGP Exp.,120,NA,3,1,8,2,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.682864051,phys,3,wk2,NA,4.199556772,3.176945024
PGP Exp.,123,NA,3,1,7,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.834934894,phys,3,wk4,NA,4.254447326,3.411275572
PGP Exp.,126,NA,3,1,6,4,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.523133502,phys,3,wk2,NA,2.758372697,2.288720945
PGP Exp.,130,NA,3,1,6,5,R500,NA,Live,avg_lf_03.24_no_germ,4.116197384,phys,3,wk2,NA,4.499556772,3.743611691
PGP Exp.,137,NA,4,1,1,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.016197384,RNAseq,3,wk4,NA,3.232890105,2.810278358
PGP Exp.,141,NA,4,1,2,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,1.882864051,RNAseq,3,wk2,NA,2.032890105,1.743611691
PGP Exp.,152,NA,4,1,1,4,FPsc,NA,Live,avg_lf_03.24_no_germ,2.368268227,RNAseq,2,wk4,NA,2.821113993,1.911275572
PGP Exp.,153,NA,4,1,5,5,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.65160156,RNAseq,3,wk2,NA,4.087780659,3.211275572
PGP Exp.,154,NA,4,1,4,5,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.582864051,RNAseq,3,wk2,NA,3.766223438,3.410278358
PGP Exp.,162,NA,4,1,6,2,R500,NA,Live,avg_lf_03.24_no_germ,3.80160156,RNAseq,3,wk2,NA,4.054447326,3.544608905
PGP Exp.,166,NA,4,1,6,3,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.132864051,RNAseq,3,wk4,NA,3.366223438,2.910278358
PGP Exp.,168,NA,4,1,8,3,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.468268227,RNAseq,3,wk4,NA,3.754447326,3.177942239
PGP Exp.,169,NA,4,1,9,3,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.406466835,RNAseq,3,wk4,NA,3.59170603,3.222054278
PGP Exp.,170,NA,4,1,6,4,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.868268227,RNAseq,3,wk2,NA,2.954447326,2.777942239
PGP Exp.,172,NA,4,1,8,4,R500,NA,Live,avg_lf_03.24_no_germ,4.518268227,RNAseq,3,wk4,NA,4.921113993,4.111275572
PGP Exp.,174,NA,4,1,6,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.194665443,RNAseq,3,wk2,NA,3.562298068,2.832832985
PGP Exp.,178,NA,5,2,4,1,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.85160156,RNAseq,3,wk2,NA,3.021113993,2.677942239
PGP Exp.,179,NA,5,2,3,1,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.718268227,RNAseq,3,wk2,NA,4.287780659,3.144608905
PGP Exp.,181,NA,5,2,1,1,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.361332109,RNAseq,3,wk2,NA,2.528964734,2.199499651
PGP Exp.,185,NA,5,2,2,2,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.468268227,RNAseq,3,wk4,NA,4.254447326,2.677942239
PGP Exp.,193,NA,5,2,4,4,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.20160156,RNAseq,3,wk4,NA,4.554447326,3.844608905
PGP Exp.,196,NA,5,2,1,4,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.532864051,RNAseq,3,wk4,NA,2.732890105,2.343611691
PGP Exp.,201,NA,5,2,1,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.216197384,RNAseq,3,wk4,NA,3.066223438,3.376945024
PGP Exp.,202,NA,5,2,6,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.40160156,RNAseq,3,wk2,NA,4.154447326,2.644608905
PGP Exp.,210,NA,5,2,6,3,R500,NA,Live,avg_lf_03.24_no_germ,4.468268227,RNAseq,3,wk4,NA,4.954447326,3.977942239
PGP Exp.,211,NA,5,2,7,3,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.723133502,RNAseq,3,wk4,NA,2.49170603,2.955387612
PGP Exp.,213,NA,5,2,9,3,R500,NA,Live,avg_lf_03.24_no_germ,4.516197384,RNAseq,3,wk2,NA,5.266223438,3.776945024
PGP Exp.,218,NA,5,2,6,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.684934894,RNAseq,3,wk2,NA,3.854447326,3.511275572
PGP Exp.,228,NA,6,2,3,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.956466835,Phys,3,wk4,NA,3.058372697,2.855387612
PGP Exp.,231,NA,6,2,5,3,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.832864051,Phys,3,wk2,NA,2.766223438,2.910278358
