exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
Validation Exp.,128,A128,7,3,1,2,FPsc,CR,Live,raw_avg_lf_11.07.17,4.725,NA,NA,NA,2.533333333,NA,NA
Validation Exp.,133,A133,7,3,4,4,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.025,NA,NA,NA,2.1,NA,NA
Validation Exp.,136,A136,7,3,1,4,FPsc,CR,Live,raw_avg_lf_11.07.17,4.525,NA,NA,NA,2.316666667,NA,NA
Validation Exp.,139,A139,7,3,2,5,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.016666667,NA,NA,NA,1.833333333,NA,NA
Validation Exp.,142,A142,8,3,3,6,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.066666667,NA,NA,NA,2.25,NA,NA
Validation Exp.,151,A151,8,3,2,8,FPsc,CR,Live,raw_avg_lf_11.07.17,5.05,NA,NA,NA,2.183333333,NA,NA
Validation Exp.,153,A153,8,3,4,9,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.875,NA,NA,NA,2.416666667,NA,NA
Validation Exp.,157,A157,8,3,4,10,FPsc,CR,Live,raw_avg_lf_11.07.17,4.616666667,NA,NA,NA,2.5,NA,NA
Validation Exp.,162,A162,9,3,3,11,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.425,NA,NA,NA,2.033333333,NA,NA
Validation Exp.,170,A170,9,3,3,13,FPsc,CR,Live,raw_avg_lf_11.07.17,4.375,NA,NA,NA,2.116666667,NA,NA
Validation Exp.,171,A171,9,3,2,13,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.675,NA,NA,NA,2.216666667,NA,NA
Validation Exp.,172,A172,9,3,1,13,FPsc,CR,Live,raw_avg_lf_11.07.17,4.225,NA,NA,NA,1.95,NA,NA
Validation Exp.,185,A185,10,3,5,2,FPsc,CR,Live,raw_avg_lf_11.07.17,4.7,NA,NA,NA,2.433333333,NA,NA
Validation Exp.,191,A191,10,3,7,3,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.3,NA,NA,NA,2.25,NA,NA
Validation Exp.,198,A198,10,3,6,5,FPsc,CR,Live,raw_avg_lf_11.07.17,4.325,NA,NA,NA,1.85,NA,NA
Validation Exp.,199,A199,10,3,7,5,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.425,NA,NA,NA,2.05,NA,NA
Validation Exp.,203,A203,11,3,7,6,FPsc,CR,Live,raw_avg_lf_11.07.17,5.05,NA,NA,NA,2.416666667,NA,NA
Validation Exp.,205,A205,11,3,5,7,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.9,NA,NA,NA,2.1,NA,NA
Validation Exp.,216,A216,11,3,8,9,FPsc,CR,Live,raw_avg_lf_11.07.17,4.9,NA,NA,NA,2.65,NA,NA
Validation Exp.,220,A220,11,3,8,10,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.975,NA,NA,NA,2.55,NA,NA
Validation Exp.,228,A228,12,3,8,12,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.516666667,NA,NA,NA,2.133333333,NA,NA
Validation Exp.,235,A235,12,3,7,14,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.7,NA,NA,NA,2.216666667,NA,NA
Validation Exp.,236,A236,12,3,8,14,FPsc,CR,Live,raw_avg_lf_11.07.17,5.225,NA,NA,NA,2.766666667,NA,NA
Validation Exp.,240,A240,12,3,8,15,FPsc,CR,Live,raw_avg_lf_11.07.17,4.7,NA,NA,NA,2.916666667,NA,NA
